#EEP   M/Mo  LogTeff   LogG  LogL/Lo   F435W   F475W   F555W   F606W   F625W   F775W   F814W   F850L
  12  0.100796  3.5264  5.3740 -2.8734 15.5163 14.6528 13.6340 13.0562 12.6452 11.5252 11.3744 10.9957
  13  0.111148  3.5346  5.3268 -2.7512 15.0426 14.2262 13.2324 12.6662 12.2540 11.2134 11.0685 10.6984
  14  0.122535  3.5429  5.2787 -2.6277 14.5687 13.7967 12.8340 12.2769 11.8652 10.8955 10.7568 10.3951
  15  0.135850  3.5514  5.2312 -2.5013 14.0910 13.3603 12.4329 11.8847 11.4750 10.5681 10.4355 10.0823
  16  0.150665  3.5593  5.1903 -2.3838 13.6556 12.9586 12.0644 11.5263 11.1205 10.2621 10.1345  9.7894
  17  0.165494  3.5659  5.1589 -2.2852 13.2958 12.6240 11.7566 11.2297 10.8286 10.0045  9.8806  9.5426
  18  0.178924  3.5711  5.1344 -2.2062 13.0122 12.3585 11.5120 10.9951 10.5984  9.7979  9.6767  9.3444
  19  0.191397  3.5752  5.1136 -2.1394 12.7773 12.1373 11.3075 10.7993 10.4068  9.6236  9.5044  9.1768
  20  0.203740  3.5788  5.0943 -2.0785 12.5676 11.9390 11.1234 10.6232 10.2345  9.4651  9.3477  9.0240
  21  0.216628  3.5821  5.0760 -2.0203 12.3703 11.7517 10.9489 10.4564 10.0714  9.3142  9.1983  8.8782
  22  0.230733  3.5853  5.0581 -1.9623 12.1758 11.5665 10.7758 10.2911  9.9099  9.1639  9.0494  8.7327
  23  0.246489  3.5886  5.0405 -1.9031 11.9789 11.3786 10.5998 10.1231  9.7459  9.0106  8.8976  8.5843
  24  0.267592  3.5924  5.0202 -1.8316 11.7426 11.1527 10.3877  9.9208  9.5486  8.8256  8.7143  8.4051
  25  0.289936  3.5961  5.0017 -1.7637 11.5198 10.9392 10.1869  9.7294  9.3620  8.6499  8.5403  8.2349
  26  0.303894  3.5982  4.9916 -1.7248 11.3923 10.8168 10.0717  9.6196  9.2550  8.5491  8.4404  8.1372
  27  0.312119  3.5993  4.9866 -1.7036 11.3236 10.7507 10.0093  9.5602  9.1971  8.4945  8.3863  8.0842
  28  0.317509  3.6001  4.9834 -1.6901 11.2795 10.7084  9.9694  9.5221  9.1601  8.4595  8.3517  8.0504
  29  0.321261  3.6006  4.9812 -1.6806 11.2485 10.6785  9.9413  9.4954  9.1340  8.4350  8.3273  8.0266
  30  0.324306  3.6011  4.9797 -1.6732 11.2235 10.6546  9.9189  9.4742  9.1134  8.4157  8.3083  8.0081
  31  0.326996  3.6015  4.9779 -1.6661 11.1997 10.6318  9.8975  9.4539  9.0937  8.3972  8.2899  7.9902
  32  0.330087  3.6020  4.9760 -1.6582 11.1733 10.6065  9.8737  9.4313  9.0718  8.3767  8.2697  7.9704
  33  0.333579  3.6025  4.9737 -1.6492 11.1435 10.5779  9.8468  9.4057  9.0469  8.3533  8.2465  7.9479
  34  0.337484  3.6031  4.9706 -1.6388 11.1098 10.5454  9.8161  9.3765  9.0184  8.3264  8.2199  7.9219
  35  0.342296  3.6038  4.9667 -1.6260 11.0686 10.5057  9.7785  9.3407  8.9835  8.2935  8.1873  7.8899
  36  0.347823  3.6045  4.9616 -1.6107 11.0198 10.4586  9.7339  9.2980  8.9419  8.2541  8.1483  7.8517
