#EEP   M/Mo  LogTeff   LogG  LogL/Lo   F435W   F475W   F555W   F606W   F625W   F775W   F814W   F850L
  37  0.365570  3.6075  4.9447 -1.5605 10.8556 10.3007  9.5848  9.1562  8.8040  8.1244  8.0199  7.7265
  38  0.403699  3.6166  4.9029 -1.4392 10.4374  9.9002  9.2102  8.8036  8.4633  7.8088  7.7085  7.4249
  39  0.417355  3.6204  4.8861 -1.3925 10.2738  9.7436  9.0639  8.6665  8.3314  7.6874  7.5888  7.3094
  40  0.427865  3.6237  4.8724 -1.3548 10.1401  9.6157  8.9447  8.5550  8.2242  7.5894  7.4923  7.2165
  41  0.437459  3.6270  4.8597 -1.3193 10.0120  9.4933  8.8309  8.4489  8.1225  7.4971  7.4016  7.1295
  42  0.447250  3.6307  4.8469 -1.2824  9.8767  9.3641  8.7110  8.3375  8.0160  7.4011  7.3072  7.0393
  43  0.457648  3.6349  4.8337 -1.2421  9.7267  9.2213  8.5790  8.2151  7.8993  7.2965  7.2046  6.9417
  44  0.468249  3.6398  4.8203 -1.1995  9.5642  9.0670  8.4369  8.0840  7.7746  7.1856  7.0959  6.8386
  45  0.478848  3.6451  4.8075 -1.1556  9.3942  8.9063  8.2894  7.9482  7.6460  7.0718  6.9844  6.7332
  46  0.489213  3.6506  4.7955 -1.1122  9.2236  8.7458  8.1428  7.8135  7.5187  6.9592  6.8743  6.6291
  47  0.498962  3.6560  4.7848 -1.0714  9.0621  8.5944  8.0048  7.6868  7.3992  6.8536  6.7709  6.5316
  48  0.507858  3.6611  4.7755 -1.0341  8.9137  8.4560  7.8791  7.5713  7.2903  6.7574  6.6768  6.4428
  49  0.515961  3.6660  4.7674 -0.9995  8.7747  8.3271  7.7625  7.4641  7.1895  6.6684  6.5896  6.3610
  50  0.523808  3.6710  4.7599 -0.9656  8.6378  8.2010  7.6487  7.3595  7.0911  6.5813  6.5043  6.2811
  51  0.531654  3.6761  4.7526 -0.9314  8.4998  8.0746  7.5351  7.2547  6.9926  6.4940  6.4188  6.2011
  52  0.535973  3.6789  4.7486 -0.9125  8.4240  8.0055  7.4730  7.1973  6.9386  6.4460  6.3719  6.1571
  53  0.540382  3.6818  4.7446 -0.8933  8.3470  7.9356  7.4102  7.1393  6.8839  6.3974  6.3242  6.1123
  54  0.544906  3.6848  4.7405 -0.8736  8.2686  7.8646  7.3466  7.0802  6.8282  6.3478  6.2757  6.0665
  55  0.549550  3.6879  4.7362 -0.8534  8.1890  7.7929  7.2821  7.0203  6.7716  6.2972  6.2261  6.0198
  56  0.554289  3.6910  4.7318 -0.8328  8.1083  7.7204  7.2171  6.9598  6.7144  6.2459  6.1759  5.9725
  57  0.559044  3.6942  4.7276 -0.8121  8.0273  7.6480  7.1524  6.8994  6.6571  6.1945  6.1255  5.9252
  58  0.563794  3.6974  4.7233 -0.7913  7.9469  7.5763  7.0883  6.8395  6.6003  6.1433  6.0754  5.8781
  59  0.568520  3.7006  4.7191 -0.7706  7.8670  7.5052  7.0249  6.7801  6.5440  6.0926  6.0257  5.8315
  60  0.573212  3.7038  4.7149 -0.7500  7.7883  7.4352  6.9625  6.7216  6.4884  6.0426  5.9767  5.7853
  61  0.577854  3.7070  4.7107 -0.7296  7.7109  7.3664  6.9013  6.6642  6.4338  5.9935  5.9285  5.7399
  62  0.582433  3.7101  4.7064 -0.7095  7.6354  7.2991  6.8414  6.6079  6.3804  5.9453  5.8812  5.6952
  63  0.586952  3.7131  4.7021 -0.6896  7.5613  7.2333  6.7829  6.5529  6.3280  5.8981  5.8349  5.6514
  64  0.591402  3.7161  4.6977 -0.6701  7.4893  7.1692  6.7259  6.4992  6.2768  5.8519  5.7895  5.6084
  65  0.595791  3.7190  4.6932 -0.6508  7.4189  7.1066  6.6701  6.4467  6.2268  5.8066  5.7451  5.5663
  66  0.600111  3.7218  4.6886 -0.6319  7.3504  7.0456  6.6158  6.3954  6.1779  5.7623  5.7016  5.5250
  67  0.604378  3.7245  4.6839 -0.6131  7.2835  6.9858  6.5625  6.3450  6.1298  5.7187  5.6588  5.4843
  68  0.608592  3.7272  4.6792 -0.5945  7.2180  6.9272  6.5103  6.2956  6.0826  5.6757  5.6165  5.4443
  69  0.612762  3.7299  4.6744 -0.5761  7.1536  6.8696  6.4588  6.2468  6.0359  5.6334  5.5749  5.4048
  70  0.616887  3.7325  4.6694 -0.5579  7.0905  6.8129  6.4081  6.1987  5.9900  5.5916  5.5338  5.3658
  71  0.620952  3.7350  4.6644 -0.5398  7.0284  6.7570  6.3581  6.1514  5.9447  5.5505  5.4934  5.3274
  72  0.624960  3.7375  4.6593 -0.5220  6.9674  6.7020  6.3089  6.1048  5.9002  5.5101  5.4537  5.2896
  73  0.628905  3.7399  4.6541 -0.5044  6.9077  6.6480  6.2605  6.0590  5.8564  5.4704  5.4146  5.2525
  74  0.632780  3.7423  4.6488 -0.4871  6.8491  6.5950  6.2130  6.0140  5.8135  5.4315  5.3764  5.2162
  75  0.636586  3.7446  4.6435 -0.4700  6.7918  6.5430  6.1664  5.9699  5.7714  5.3933  5.3389  5.1805
  76  0.640315  3.7468  4.6381 -0.4533  6.7360  6.4923  6.1208  5.9267  5.7301  5.3558  5.3020  5.1455
  77  0.643970  3.7489  4.6327 -0.4368  6.6818  6.4429  6.0763  5.8844  5.6896  5.3189  5.2657  5.1109
  78  0.647538  3.7510  4.6272 -0.4207  6.6295  6.3951  6.0331  5.8432  5.6500  5.2826  5.2300  5.0767
  79  0.651026  3.7530  4.6217 -0.4048  6.5787  6.3486  5.9909  5.8029  5.6113  5.2471  5.1949  5.0432
  80  0.654420  3.7549  4.6162 -0.3894  6.5294  6.3034  5.9498  5.7637  5.5736  5.2123  5.1607  5.0104
  81  0.657729  3.7568  4.6107 -0.3742  6.4816  6.2594  5.9097  5.7254  5.5367  5.1784  5.1272  4.9782
  82  0.662325  3.7593  4.6028 -0.3531  6.4152  6.1981  5.8539  5.6720  5.4853  5.1310  5.0805  4.9334
  83  0.666876  3.7618  4.5947 -0.3320  6.3497  6.1375  5.7984  5.6189  5.4342  5.0838  5.0339  4.8887
  84  0.671392  3.7643  4.5863 -0.3109  6.2847  6.0772  5.7431  5.5659  5.3831  5.0366  4.9873  4.8439
  85  0.675880  3.7667  4.5778 -0.2898  6.2201  6.0170  5.6878  5.5129  5.3320  4.9893  4.9406  4.7989
  86  0.680343  3.7691  4.5692 -0.2686  6.1556  5.9569  5.6324  5.4597  5.2809  4.9419  4.8938  4.7539
  87  0.684784  3.7715  4.5603 -0.2473  6.0913  5.8968  5.5770  5.4065  5.2295  4.8943  4.8467  4.7086
  88  0.689204  3.7739  4.5513 -0.2260  6.0269  5.8366  5.5213  5.3530  5.1780  4.8465  4.7996  4.6632
  89  0.693600  3.7763  4.5421 -0.2044  5.9625  5.7762  5.4654  5.2993  5.1261  4.7985  4.7521  4.6175
  90  0.697966  3.7787  4.5327 -0.1828  5.8982  5.7157  5.4093  5.2454  5.0741  4.7501  4.7043  4.5714
  91  0.702293  3.7811  4.5232 -0.1610  5.8338  5.6551  5.3530  5.1912  5.0217  4.7014  4.6562  4.5249
  92  0.706552  3.7834  4.5134 -0.1392  5.7696  5.5946  5.2966  5.1369  4.9692  4.6525  4.6078  4.4782
  93  0.710728  3.7858  4.5036 -0.1174  5.7058  5.5343  5.2404  5.0827  4.9168  4.6036  4.5595  4.4315
  94  0.714818  3.7881  4.4934 -0.0957  5.6424  5.4743  5.1843  5.0287  4.8646  4.5548  4.5112  4.3848
  95  0.718815  3.7903  4.4831 -0.0740  5.5794  5.4146  5.1285  4.9749  4.8125  4.5061  4.4630  4.3381
  96  0.722718  3.7924  4.4725 -0.0524  5.5170  5.3553  5.0730  4.9213  4.7606  4.4576  4.4150  4.2915
  97  0.726525  3.7945  4.4615 -0.0309  5.4551  5.2965  5.0178  4.8681  4.7091  4.4095  4.3673  4.2453
  98  0.730237  3.7965  4.4503 -0.0096  5.3939  5.2381  4.9630  4.8152  4.6579  4.3615  4.3198  4.1991
  99  0.733853  3.7984  4.4387  0.0116  5.3333  5.1803  4.9086  4.7626  4.6070  4.3136  4.2724  4.1529
 100  0.737377  3.8002  4.4269  0.0327  5.2734  5.1231  4.8546  4.7103  4.5562  4.2658  4.2251  4.1068
 101  0.740810  3.8019  4.4149  0.0537  5.2143  5.0664  4.8010  4.6583  4.5057  4.2182  4.1778  4.0607
 102  0.744157  3.8035  4.4025  0.0745  5.1558  5.0102  4.7477  4.6066  4.4554  4.1706  4.1306  4.0145
 103  0.747419  3.8050  4.3898  0.0952  5.0981  4.9546  4.6948  4.5552  4.4053  4.1230  4.0834  3.9683
 104  0.750603  3.8065  4.3769  0.1158  5.0410  4.8995  4.6423  4.5040  4.3553  4.0755  4.0362  3.9220
 105  0.753718  3.8078  4.3637  0.1362  4.9844  4.8448  4.5899  4.4530  4.3054  4.0279  3.9888  3.8756
 106  0.756769  3.8091  4.3502  0.1566  4.9283  4.7905  4.5378  4.4020  4.2556  3.9802  3.9414  3.8289
 107  0.759754  3.8103  4.3364  0.1770  4.8727  4.7365  4.4859  4.3513  4.2059  3.9325  3.8940  3.7823
 108  0.762676  3.8115  4.3223  0.1972  4.8175  4.6828  4.4343  4.3007  4.1563  3.8849  3.8465  3.7355
 109  0.765533  3.8125  4.3079  0.2174  4.7628  4.6296  4.3830  4.2504  4.1068  3.8372  3.7991  3.6887
 110  0.768330  3.8135  4.2933  0.2374  4.7086  4.5768  4.3319  4.2003  4.0576  3.7897  3.7517  3.6419
 111  0.771055  3.8143  4.2785  0.2573  4.6550  4.5244  4.2812  4.1505  4.0086  3.7423  3.7045  3.5952
 112  0.771837  3.8146  4.2742  0.2632  4.6390  4.5089  4.2662  4.1358  3.9942  3.7284  3.6906  3.5815
 113  0.772615  3.8149  4.2699  0.2692  4.6228  4.4930  4.2510  4.1208  3.9795  3.7142  3.6766  3.5677
 114  0.773389  3.8153  4.2656  0.2751  4.6066  4.4773  4.2358  4.1059  3.9649  3.7002  3.6626  3.5538
 115  0.774159  3.8156  4.2614  0.2812  4.5899  4.4611  4.2202  4.0907  3.9500  3.6859  3.6484  3.5398
 116  0.774925  3.8160  4.2571  0.2873  4.5732  4.4449  4.2047  4.0755  3.9351  3.6716  3.6342  3.5258
 117  0.775689  3.8163  4.2529  0.2935  4.5563  4.4285  4.1889  4.0601  3.9200  3.6572  3.6198  3.5117
 118  0.776449  3.8167  4.2484  0.2996  4.5395  4.4121  4.1732  4.0447  3.9049  3.6427  3.6053  3.4974
 119  0.777205  3.8170  4.2439  0.3059  4.5225  4.3956  4.1572  4.0290  3.8896  3.6279  3.5907  3.4829
 120  0.777956  3.8173  4.2391  0.3122  4.5055  4.3790  4.1412  4.0133  3.8741  3.6129  3.5757  3.4681
 121  0.778701  3.8175  4.2342  0.3185  4.4885  4.3623  4.1250  3.9973  3.8584  3.5977  3.5605  3.4531
 122  0.779441  3.8177  4.2290  0.3250  4.4714  4.3455  4.1086  3.9812  3.8424  3.5822  3.5450  3.4377
 123  0.780174  3.8179  4.2236  0.3314  4.4543  4.3287  4.0921  3.9649  3.8263  3.5664  3.5293  3.4221
 124  0.780902  3.8180  4.2180  0.3380  4.4371  4.3117  4.0755  3.9485  3.8100  3.5504  3.5133  3.4062
 125  0.781624  3.8182  4.2123  0.3446  4.4198  4.2946  4.0588  3.9319  3.7936  3.5343  3.4972  3.3901
 126  0.782340  3.8183  4.2065  0.3513  4.4023  4.2774  4.0418  3.9151  3.7770  3.5179  3.4809  3.3738
 127  0.783051  3.8184  4.2006  0.3580  4.3848  4.2601  4.0248  3.8982  3.7602  3.5014  3.4644  3.3574
 128  0.783756  3.8184  4.1945  0.3648  4.3673  4.2428  4.0077  3.8812  3.7433  3.4847  3.4477  3.3407
 129  0.784457  3.8185  4.1883  0.3716  4.3497  4.2253  3.9905  3.8641  3.7263  3.4679  3.4309  3.3239
 130  0.785151  3.8185  4.1820  0.3784  4.3321  4.2078  3.9732  3.8469  3.7092  3.4509  3.4139  3.3069
 131  0.785840  3.8186  4.1756  0.3854  4.3144  4.1902  3.9557  3.8295  3.6919  3.4337  3.3967  3.2897
 132  0.786523  3.8186  4.1689  0.3923  4.2966  4.1726  3.9382  3.8120  3.6744  3.4163  3.3793  3.2723
 133  0.787199  3.8185  4.1620  0.3993  4.2789  4.1549  3.9205  3.7943  3.6568  3.3986  3.3616  3.2545
 134  0.787867  3.8184  4.1549  0.4064  4.2612  4.1371  3.9027  3.7765  3.6389  3.3807  3.3437  3.2365
 135  0.788528  3.8183  4.1477  0.4135  4.2434  4.1193  3.8848  3.7586  3.6209  3.3626  3.3255  3.2183
 136  0.789182  3.8181  4.1402  0.4207  4.2256  4.1014  3.8668  3.7405  3.6028  3.3443  3.3071  3.1997
 137  0.789828  3.8179  4.1325  0.4280  4.2078  4.0835  3.8487  3.7222  3.5844  3.3257  3.2885  3.1810
 138  0.790466  3.8177  4.1246  0.4353  4.1900  4.0654  3.8305  3.7038  3.5659  3.3069  3.2696  3.1619
 139  0.791096  3.8174  4.1164  0.4426  4.1722  4.0474  3.8121  3.6853  3.5472  3.2878  3.2505  3.1426
 140  0.791716  3.8170  4.1081  0.4500  4.1543  4.0293  3.7937  3.6666  3.5283  3.2685  3.2311  3.1229
 141  0.792328  3.8167  4.0994  0.4575  4.1366  4.0112  3.7751  3.6478  3.5092  3.2488  3.2114  3.1030
 142  0.792930  3.8163  4.0906  0.4650  4.1188  3.9930  3.7564  3.6288  3.4899  3.2290  3.1914  3.0827
 143  0.793521  3.8158  4.0814  0.4726  4.1012  3.9749  3.7376  3.6096  3.4704  3.2088  3.1711  3.0621
 144  0.794103  3.8152  4.0719  0.4802  4.0836  3.9568  3.7187  3.5903  3.4506  3.1882  3.1504  3.0410
 145  0.794673  3.8146  4.0621  0.4879  4.0661  3.9386  3.6998  3.5708  3.4307  3.1674  3.1295  3.0197
 146  0.795233  3.8140  4.0520  0.4957  4.0488  3.9205  3.6807  3.5512  3.4106  3.1463  3.1082  2.9980
 147  0.795781  3.8132  4.0415  0.5035  4.0315  3.9025  3.6616  3.5314  3.3903  3.1248  3.0866  2.9758
 148  0.796318  3.8124  4.0307  0.5114  4.0145  3.8845  3.6424  3.5115  3.3697  3.1030  3.0646  2.9533
 149  0.796842  3.8115  4.0195  0.5193  3.9977  3.8667  3.6231  3.4915  3.3490  3.0808  3.0422  2.9303
 150  0.797354  3.8105  4.0079  0.5272  3.9812  3.8489  3.6038  3.4713  3.3280  3.0583  3.0194  2.9069
 151  0.797853  3.8094  3.9958  0.5352  3.9649  3.8314  3.5845  3.4511  3.3068  3.0354  2.9963  2.8830
 152  0.798338  3.8082  3.9832  0.5432  3.9490  3.8140  3.5653  3.4307  3.2855  3.0122  2.9728  2.8587
 153  0.798810  3.8069  3.9702  0.5513  3.9334  3.7968  3.5460  3.4103  3.2641  2.9887  2.9490  2.8340
 154  0.799269  3.8055  3.9567  0.5594  3.9180  3.7798  3.5269  3.3899  3.2426  2.9650  2.9250  2.8091
 155  0.799713  3.8040  3.9426  0.5675  3.9029  3.7629  3.5078  3.3696  3.2212  2.9412  2.9009  2.7839
 156  0.800144  3.8023  3.9281  0.5756  3.8882  3.7464  3.4889  3.3493  3.1997  2.9172  2.8765  2.7584
 157  0.800561  3.8005  3.9130  0.5837  3.8739  3.7301  3.4701  3.3291  3.1781  2.8930  2.8519  2.7326
 158  0.800964  3.7986  3.8973  0.5919  3.8602  3.7143  3.4516  3.3089  3.1566  2.8685  2.8270  2.7064
 159  0.801354  3.7965  3.8811  0.6000  3.8470  3.6988  3.4331  3.2888  3.1350  2.8438  2.8018  2.6799
 160  0.801731  3.7943  3.8643  0.6082  3.8345  3.6837  3.4149  3.2688  3.1134  2.8189  2.7765  2.6530
 161  0.802097  3.7919  3.8471  0.6163  3.8226  3.6691  3.3969  3.2488  3.0918  2.7938  2.7508  2.6257
 162  0.802409  3.7905  3.8341  0.6235  3.8101  3.6547  3.3802  3.2310  3.0728  2.7726  2.7292  2.6032
 163  0.802715  3.7880  3.8173  0.6306  3.8017  3.6432  3.3648  3.2134  3.0534  2.7494  2.7055  2.5777
 164  0.803015  3.7846  3.7967  0.6377  3.7977  3.6347  3.3506  3.1961  3.0335  2.7241  2.6794  2.5493
 165  0.803309  3.7804  3.7731  0.6447  3.7978  3.6288  3.3376  3.1793  3.0134  2.6974  2.6518  2.5187
 166  0.803601  3.7762  3.7493  0.6517  3.7984  3.6233  3.3248  3.1627  2.9935  2.6709  2.6242  2.4881
 167  0.803894  3.7723  3.7268  0.6590  3.7977  3.6167  3.3114  3.1459  2.9736  2.6449  2.5972  2.4583
 168  0.804188  3.7691  3.7065  0.6664  3.7942  3.6082  3.2968  3.1283  2.9533  2.6193  2.5708  2.4295
 169  0.804478  3.7661  3.6870  0.6741  3.7894  3.5985  3.2815  3.1101  2.9327  2.5938  2.5445  2.4011
 170  0.804764  3.7631  3.6675  0.6821  3.7837  3.5881  3.2655  3.0913  2.9116  2.5679  2.5180  2.3724
 171  0.805042  3.7603  3.6479  0.6904  3.7767  3.5764  3.2484  3.0716  2.8899  2.5417  2.4910  2.3432
 172  0.805308  3.7576  3.6283  0.6993  3.7683  3.5634  3.2302  3.0508  2.8671  2.5145  2.4631  2.3133
 173  0.805560  3.7551  3.6089  0.7088  3.7579  3.5485  3.2104  3.0287  2.8430  2.4865  2.4344  2.2826
 174  0.805798  3.7528  3.5900  0.7187  3.7448  3.5314  3.1889  3.0052  2.8178  2.4576  2.4050  2.2515
 175  0.806022  3.7508  3.5715  0.7292  3.7296  3.5126  3.1660  2.9804  2.7915  2.4281  2.3749  2.2198
 176  0.806232  3.7490  3.5537  0.7400  3.7123  3.4920  3.1418  2.9547  2.7644  2.3982  2.3446  2.1881
 177  0.806430  3.7474  3.5364  0.7511  3.6933  3.4700  3.1167  2.9281  2.7366  2.3680  2.3140  2.1563
 178  0.806619  3.7460  3.5196  0.7624  3.6727  3.4469  3.0908  2.9009  2.7084  2.3376  2.2832  2.1244
 179  0.806800  3.7448  3.5034  0.7739  3.6507  3.4226  3.0640  2.8731  2.6797  2.3071  2.2524  2.0926
 180  0.806974  3.7437  3.4874  0.7854  3.6284  3.3982  3.0372  2.8452  2.6510  2.2765  2.2214  2.0607
 181  0.807144  3.7426  3.4717  0.7971  3.6051  3.3729  3.0098  2.8169  2.6219  2.2457  2.1904  2.0289
 182  0.807335  3.7416  3.4538  0.8109  3.5768  3.3426  2.9773  2.7833  2.5875  2.2096  2.1540  1.9916
 183  0.807525  3.7406  3.4359  0.8250  3.5472  3.3112  2.9438  2.7489  2.5523  2.1729  2.1170  1.9538
 184  0.807713  3.7397  3.4180  0.8394  3.5166  3.2789  2.9096  2.7138  2.5165  2.1355  2.0794  1.9155
 185  0.807900  3.7389  3.4002  0.8541  3.4850  3.2457  2.8747  2.6780  2.4800  2.0976  2.0413  1.8767
 186  0.808086  3.7381  3.3825  0.8688  3.4530  3.2121  2.8395  2.6420  2.4433  2.0596  2.0030  1.8378
 187  0.808271  3.7374  3.3648  0.8837  3.4201  3.1778  2.8037  2.6054  2.4062  2.0211  1.9643  1.7985
 188  0.808455  3.7367  3.3472  0.8988  3.3865  3.1430  2.7675  2.5685  2.3687  1.9825  1.9255  1.7592
 189  0.808639  3.7361  3.3296  0.9139  3.3526  3.1079  2.7310  2.5314  2.3311  1.9438  1.8866  1.7197
 190  0.808822  3.7355  3.3121  0.9291  3.3181  3.0723  2.6942  2.4940  2.2932  1.9049  1.8475  1.6801
 191  0.809005  3.7349  3.2947  0.9444  3.2834  3.0364  2.6572  2.4564  2.2552  1.8659  1.8084  1.6405
 192  0.809187  3.7344  3.2772  0.9598  3.2483  3.0003  2.6200  2.4186  2.2169  1.8267  1.7690  1.6007
 193  0.809367  3.7339  3.2596  0.9753  3.2127  2.9637  2.5823  2.3804  2.1783  1.7872  1.7294  1.5606
 194  0.809548  3.7334  3.2420  0.9910  3.1765  2.9266  2.5442  2.3418  2.1393  1.7474  1.6894  1.5202
 195  0.809726  3.7329  3.2242  1.0069  3.1399  2.8891  2.5056  2.3028  2.0999  1.7072  1.6490  1.4794
 196  0.809904  3.7324  3.2063  1.0229  3.1028  2.8510  2.4666  2.2633  2.0601  1.6665  1.6082  1.4382
 197  0.810080  3.7319  3.1883  1.0391  3.0652  2.8125  2.4272  2.2234  2.0199  1.6256  1.5671  1.3967
 198  0.810255  3.7314  3.1702  1.0555  3.0272  2.7737  2.3874  2.1833  1.9794  1.5844  1.5258  1.3549
 199  0.810429  3.7310  3.1520  1.0719  2.9888  2.7344  2.3472  2.1427  1.9385  1.5428  1.4840  1.3128
 200  0.810600  3.7305  3.1334  1.0888  2.9493  2.6941  2.3061  2.1012  1.8967  1.5002  1.4414  1.2698
 201  0.810766  3.7301  3.1142  1.1063  2.9083  2.6523  2.2634  2.0581  1.8533  1.4562  1.3971  1.2252
 202  0.810925  3.7296  3.0941  1.1245  2.8658  2.6088  2.2190  2.0132  1.8081  1.4102  1.3511  1.1787
 203  0.811080  3.7290  3.0732  1.1432  2.8226  2.5646  2.1736  1.9673  1.7618  1.3630  1.3037  1.1309
 204  0.811230  3.7285  3.0523  1.1623  2.7774  2.5186  2.1267  1.9201  1.7143  1.3148  1.2554  1.0822
 205  0.811376  3.7280  3.0308  1.1819  2.7318  2.4720  2.0791  1.8720  1.6659  1.2656  1.2060  1.0323
 206  0.811517  3.7275  3.0089  1.2018  2.6852  2.4244  2.0305  1.8230  1.6166  1.2155  1.1557  0.9816
 207  0.811655  3.7269  2.9864  1.2220  2.6383  2.3764  1.9814  1.7733  1.5665  1.1645  1.1045  0.9300
 208  0.811789  3.7263  2.9636  1.2425  2.5907  2.3277  1.9315  1.7229  1.5156  1.1127  1.0525  0.8775
 209  0.811919  3.7257  2.9404  1.2633  2.5426  2.2784  1.8809  1.6718  1.4641  1.0601  0.9998  0.8243
 210  0.812045  3.7251  2.9168  1.2844  2.4939  2.2285  1.8297  1.6200  1.4119  1.0069  0.9463  0.7702
 211  0.812167  3.7244  2.8928  1.3058  2.4448  2.1781  1.7779  1.5676  1.3589  0.9528  0.8921  0.7155
 212  0.812285  3.7237  2.8685  1.3274  2.3953  2.1272  1.7256  1.5146  1.3054  0.8982  0.8373  0.6600
 213  0.812399  3.7230  2.8441  1.3492  2.3452  2.0757  1.6727  1.4610  1.2514  0.8430  0.7818  0.6040
 214  0.812510  3.7223  2.8193  1.3713  2.2948  2.0239  1.6193  1.4069  1.1967  0.7872  0.7258  0.5473
 215  0.812617  3.7216  2.7942  1.3935  2.2442  1.9717  1.5655  1.3523  1.1416  0.7307  0.6692  0.4899
 216  0.812720  3.7209  2.7688  1.4160  2.1933  1.9191  1.5112  1.2973  1.0859  0.6738  0.6120  0.4321
 217  0.812740  3.7208  2.7638  1.4205  2.1832  1.9087  1.5005  1.2864  1.0749  0.6626  0.6007  0.4206
 218  0.812760  3.7206  2.7588  1.4249  2.1731  1.8983  1.4897  1.2755  1.0639  0.6513  0.5894  0.4092
 219  0.812780  3.7205  2.7537  1.4294  2.1630  1.8878  1.4789  1.2645  1.0528  0.6399  0.5779  0.3976
 220  0.812799  3.7203  2.7486  1.4339  2.1528  1.8773  1.4680  1.2535  1.0416  0.6285  0.5665  0.3860
 221  0.812819  3.7202  2.7435  1.4384  2.1426  1.8668  1.4571  1.2424  1.0304  0.6170  0.5550  0.3743
 222  0.812838  3.7200  2.7383  1.4430  2.1324  1.8562  1.4462  1.2313  1.0192  0.6055  0.5434  0.3626
 223  0.812858  3.7198  2.7332  1.4476  2.1222  1.8455  1.4352  1.2201  1.0079  0.5939  0.5317  0.3508
 224  0.812877  3.7197  2.7279  1.4521  2.1119  1.8349  1.4242  1.2090  0.9965  0.5822  0.5201  0.3389
 225  0.812896  3.7195  2.7228  1.4567  2.1014  1.8241  1.4130  1.1977  0.9851  0.5706  0.5084  0.3271
 226  0.812915  3.7194  2.7176  1.4614  2.0911  1.8134  1.4019  1.1864  0.9737  0.5589  0.4966  0.3152
 227  0.813093  3.7177  2.6660  1.5064  1.9912  1.7094  1.2938  1.0764  0.8623  0.4444  0.3816  0.1986
 228  0.813259  3.7161  2.6136  1.5525  1.8887  1.6029  1.1832  0.9639  0.7484  0.3274  0.2642  0.0795
 229  0.813400  3.7148  2.5658  1.5950  1.7931  1.5040  1.0809  0.8600  0.6433  0.2198  0.1561 -0.0298
