#EEP   M/Mo    LogTeff  LogG   LogL/Lo F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W   F850LP  
  10  0.103715  3.5429  5.2753 -2.6965 14.6477 13.8586 13.8296 12.5652 12.9210 12.3426 11.9950 11.4461 11.5036 10.9874 10.8434 10.5157
  11  0.119452  3.5554  5.2319 -2.5417 14.0359 13.3028 13.2298 12.0801 12.4113 11.8393 11.4916 11.0139 11.0773 10.5815 10.4475 10.1345
  12  0.136065  3.5664  5.1914 -2.4006 13.4966 12.8082 12.6991 11.6487 11.9594 11.3971 11.0518 10.6244 10.6919 10.2131 10.0870  9.7861
  13  0.151928  3.5743  5.1580 -2.2880 13.0872 12.4277 12.2942 11.3130 11.6097 11.0586 10.7172 10.3175 10.3872  9.9206  9.7997  9.5071
  14  0.166783  3.5798  5.1306 -2.1979 12.7740 12.1335 11.9830 11.0503 11.3374 10.7964 10.4588 10.0749 10.1460  9.6881  9.5705  9.2837
  15  0.180509  3.5841  5.1077 -2.1237 12.5219 11.8954 11.7316 10.8362 11.1161 10.5841 10.2499  9.8762  9.9483  9.4973  9.3821  9.0997
  16  0.193091  3.5875  5.0887 -2.0615 12.3128 11.6974 11.5229 10.6576 10.9316 10.4077 10.0767  9.7101  9.7831  9.3376  9.2244  8.9455
  17  0.204541  3.5904  5.0730 -2.0091 12.1373 11.5308 11.3476 10.5072 10.7764 10.2596  9.9314  9.5701  9.6437  9.2031  9.0914  8.8155
  18  0.215691  3.5930  5.0598 -1.9627 11.9833 11.3844 11.1939 10.3748 10.6398 10.1294  9.8038  9.4466  9.5207  9.0843  8.9739  8.7005
  19  0.226325  3.5952  5.0481 -1.9213 11.8466 11.2543 11.0575 10.2570 10.5181 10.0135  9.6904  9.3366  9.4110  8.9783  8.8690  8.5978
  20  0.235953  3.5972  5.0377 -1.8848 11.7262 11.1396 10.9374 10.1531 10.4110  9.9117  9.5907  9.2397  9.3145  8.8850  8.7768  8.5075
  21  0.244871  3.5990  5.0279 -1.8515 11.6155 11.0342 10.8270 10.0578 10.3126  9.8182  9.4994  9.1508  9.2259  8.7996  8.6922  8.4248
  22  0.253055  3.6008  5.0188 -1.8210 11.5134 10.9371 10.7253  9.9702 10.2221  9.7326  9.4158  9.0694  9.1447  8.7215  8.6150  8.3493
  23  0.260208  3.6023  5.0113 -1.7953 11.4278 10.8555 10.6400  9.8965 10.1460  9.6606  9.3456  9.0010  9.0764  8.6558  8.5500  8.2859
  24  0.266489  3.6036  5.0050 -1.7736 11.3551 10.7862 10.5677  9.8339 10.0814  9.5994  9.2859  8.9428  9.0184  8.6001  8.4949  8.2321
  25  0.272086  3.6048  4.9996 -1.7545 11.2910 10.7251 10.5039  9.7787 10.0244  9.5456  9.2335  8.8917  8.9674  8.5511  8.4465  8.1849
  26  0.277325  3.6059  4.9946 -1.7367 11.2308 10.6678 10.4442  9.7270  9.9710  9.4953  9.1844  8.8438  8.9196  8.5054  8.4013  8.1409
  27  0.282600  3.6070  4.9894 -1.7187 11.1695 10.6095 10.3833  9.6745  9.9167  9.4442  9.1347  8.7953  8.8712  8.4591  8.3556  8.0964
  28  0.288365  3.6084  4.9836 -1.6988 11.1010 10.5443 10.3154  9.6159  9.8561  9.3872  9.0793  8.7414  8.8173  8.4077  8.3048  8.0470
  29  0.295137  3.6101  4.9762 -1.6744 11.0170 10.4643 10.2321  9.5441  9.7818  9.3176  9.0117  8.6755  8.7515  8.3450  8.2430  7.9870
  30  0.304085  3.6127  4.9653 -1.6402 10.8971 10.3505 10.1134  9.4423  9.6763  9.2190  8.9161  8.5824  8.6585  8.2568  8.1560  7.9027
  31  0.320001  3.6180  4.9433 -1.5747 10.6645 10.1295  9.8838  9.2451  9.4719  9.0285  8.7319  8.4034  8.4792  8.0876  7.9894  7.7418
  32  0.339492  3.6262  4.9144 -1.4874 10.3460  9.8274  9.5708  8.9771  9.1935  8.7708  8.4836  8.1630  8.2380  7.8622  7.7678  7.5289
