#EEP   M/Mo    LogTeff  LogG   LogL/Lo F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W   F850LP  
  10  0.101969  3.5299  5.3060 -2.7866 15.0779 14.2646 14.3469 12.9137 13.2969 12.7522 12.4156 11.7576 11.7985 11.2211 11.0527 10.6889
  11  0.115769  3.5397  5.2598 -2.6462 14.5191 13.7585 13.7924 12.4671 12.8283 12.2777 11.9374 11.3543 11.4011 10.8536 10.6972 10.3506
  12  0.131486  3.5493  5.2136 -2.5060 13.9784 13.2642 13.2597 12.0313 12.3724 11.8180 11.4753 10.9576 11.0098 10.4881 10.3423 10.0109
  13  0.149920  3.5582  5.1702 -2.3704 13.4818 12.8042 12.7703 11.6223 11.9469 11.3923 11.0491 10.5814 10.6381 10.1367  9.9994  9.6807
  14  0.169985  3.5652  5.1333 -2.2506 13.0676 12.4151 12.3583 11.2714 11.5839 11.0327 10.6907 10.2555 10.3153  9.8285  9.6973  9.3880
  15  0.188067  3.5704  5.1045 -2.1574 12.7556 12.1197 12.0470 11.0030 11.3071 10.7604 10.4201 10.0049 10.0668  9.5898  9.4627  9.1598
  16  0.203527  3.5741  5.0819 -2.0855 12.5200 11.8956 11.8115 10.7984 11.0965 10.5540 10.2154  9.8132  9.8764  9.4064  9.2821  8.9837
  17  0.219907  3.5775  5.0610 -2.0175 12.2999 11.6856 11.5912 10.6058 10.8986 10.3608 10.0241  9.6323  9.6968  9.2329  9.1110  8.8167
  18  0.234129  3.5801  5.0442 -1.9630 12.1252 11.5185 11.4164 10.4523 10.7410 10.2074  9.8723  9.4880  9.5532  9.0942  8.9741  8.6829
  19  0.245122  3.5820  5.0314 -1.9226 11.9959 11.3947 11.2871 10.3384 10.6241 10.0941  9.7604  9.3810  9.4468  8.9914  8.8726  8.5838
  20  0.252825  3.5833  5.0221 -1.8947 11.9070 11.3095 11.1982 10.2600 10.5437 10.0162  9.6834  9.3072  9.3735  8.9204  8.8025  8.5152
  21  0.258566  3.5842  5.0152 -1.8746 11.8434 11.2485 11.1345 10.2036 10.4859  9.9602  9.6281  9.2540  9.3205  8.8692  8.7519  8.4656
  22  0.263090  3.5848  5.0098 -1.8590 11.7947 11.2018 11.0859 10.1603 10.4416  9.9172  9.5857  9.2132  9.2799  8.8297  8.7129  8.4274
  23  0.266656  3.5853  5.0055 -1.8469 11.7567 11.1652 11.0477 10.1265 10.4070  9.8836  9.5526  9.1812  9.2480  8.7989  8.6823  8.3975
  24  0.269598  3.5858  5.0020 -1.8369 11.7257 11.1354 11.0167 10.0989 10.3787  9.8562  9.5255  9.1551  9.2221  8.7737  8.6574  8.3731
  25  0.272137  3.5861  4.9991 -1.8285 11.6993 11.1100 10.9902 10.0754 10.3547  9.8330  9.5026  9.1330  9.2000  8.7523  8.6363  8.3524
  26  0.274538  3.5865  4.9966 -1.8208 11.6749 11.0866 10.9658 10.0538 10.3325  9.8116  9.4815  9.1126  9.1798  8.7327  8.6169  8.3334
  27  0.277131  3.5868  4.9944 -1.8129 11.6498 11.0625 10.9407 10.0316 10.3098  9.7897  9.4599  9.0918  9.1591  8.7127  8.5971  8.3141
