#EEP   M/Mo    LogTeff  LogG   LogL/Lo F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W   F850LP  
   9  0.100468  3.5292  5.2735 -2.7633 15.0527 14.2418 14.2416 12.9244 13.3000 12.7328 12.3943 11.7532 11.7946 11.2130 11.0471 10.6839
  10  0.116636  3.5383  5.2260 -2.6146 14.5012 13.7300 13.6971 12.4542 12.8128 12.2496 11.9092 11.3300 11.3761 10.8182 10.6623 10.3137
  11  0.134963  3.5472  5.1796 -2.4692 13.9739 13.2379 13.1770 12.0043 12.3467 11.7863 11.4448 10.9192 10.9689 10.4333 10.2864  9.9515
  12  0.154646  3.5553  5.1399 -2.3380 13.5071 12.8000 12.7169 11.6049 11.9333 11.3757 11.0341 10.5514 10.6042 10.0871  9.9478  9.6250
  13  0.175152  3.5626  5.1054 -2.2204 13.0950 12.4118 12.3104 11.2509 11.5674 11.0136 10.6725 10.2237 10.2790  9.7780  9.6452  9.3327
  14  0.190392  3.5673  5.0830 -2.1430 12.8290 12.1602 12.0474 11.0210 11.3301 10.7797 10.4395 10.0099 10.0667  9.5759  9.4470  9.1410
  15  0.200619  3.5701  5.0696 -2.0957 12.6681 12.0076 11.8879 10.8813 11.1860 10.6382 10.2986  9.8797  9.9374  9.4525  9.3259  9.0237
  16  0.207852  3.5718  5.0613 -2.0649 12.5645 11.9091 11.7851 10.7909 11.0930 10.5469 10.2079  9.7953  9.8535  9.3725  9.2473  8.9475
  17  0.213657  3.5732  5.0550 -2.0413 12.4861 11.8344 11.7071 10.7223 11.0223 10.4776 10.1391  9.7310  9.7896  9.3115  9.1873  8.8892
  18  0.218585  3.5742  5.0495 -2.0216 12.4207 11.7721 11.6422 10.6649 10.9633 10.4198 10.0817  9.6773  9.7361  9.2604  9.1370  8.8403
  19  0.223132  3.5752  5.0441 -2.0035 12.3612 11.7153 11.5829 10.6126 10.9095 10.3671 10.0294  9.6281  9.6873  9.2135  9.0909  8.7955
  20  0.227586  3.5761  5.0388 -1.9858 12.3032 11.6599 11.5251 10.5615 10.8569 10.3157  9.9784  9.5802  9.6396  9.1679  9.0459  8.7518
  21  0.232383  3.5771  5.0331 -1.9670 12.2416 11.6010 11.4637 10.5073 10.8012 10.2613  9.9244  9.5293  9.5889  9.1194  8.9982  8.7053
  22  0.238097  3.5783  5.0266 -1.9452 12.1698 11.5325 11.3921 10.4442 10.7363 10.1980  9.8616  9.4701  9.5301  9.0631  8.9427  8.6514
  23  0.245215  3.5799  5.0186 -1.9183 12.0805 11.4473 11.3032 10.3660 10.6558 10.1197  9.7840  9.3969  9.4573  8.9935  8.8743  8.5849
  24  0.254615  3.5820  5.0076 -1.8826 11.9612 11.3335 11.1840 10.2617 10.5485 10.0155  9.6810  9.2995  9.3605  8.9011  8.7834  8.4966
  25  0.266174  3.5845  4.9940 -1.8394 11.8169 11.1959 11.0397 10.1358 10.4188  9.8901  9.5571  9.1819  9.2436  8.7896  8.6736  8.3901
  26  0.278314  3.5873  4.9796 -1.7944 11.6654 11.0513 10.8881 10.0038 10.2827  9.7591  9.4280  9.0590  9.1214  8.6732  8.5591  8.2791
  27  0.289912  3.5903  4.9653 -1.7507 11.5159 10.9089 10.7384  9.8744 10.1492  9.6312  9.3021  8.9390  9.0021  8.5600  8.4478  8.1713
  28  0.301217  3.5935  4.9505 -1.7063 11.3608 10.7615 10.5834  9.7412 10.0116  9.5001  9.1736  8.8161  8.8800  8.4447  8.3344  8.0618
  29  0.315972  3.5984  4.9290 -1.6445 11.1413 10.5532 10.3644  9.5539  9.8179  9.3170  8.9945  8.6444  8.7093  8.2842  8.1767  7.9097
  30  0.332924  3.6050  4.9024 -1.5686 10.8650 10.2919 10.0899  9.3204  9.5761  9.0903  8.7738  8.4321  8.4980  8.0866  7.9828  7.7234
  31  0.348205  3.6120  4.8789 -1.4977 10.5998 10.0418  9.8278  9.0986  9.3461  8.8766  8.5668  8.2327  8.2992  7.9023  7.8022  7.5506
  32  0.358384  3.6173  4.8642 -1.4495 10.4141  9.8671  9.6452  8.9447  9.1862  8.7294  8.4249  8.0960  8.1628  7.7770  7.6795  7.4338
  33  0.366265  3.6218  4.8531 -1.4107 10.2621  9.7243  9.4963  8.8194  9.0560  8.6102  8.3103  7.9859  8.0527  7.6765  7.5814  7.3407
  34  0.373123  3.6261  4.8438 -1.3762 10.1255  9.5960  9.3629  8.7069  8.9391  8.5034  8.2079  7.8876  7.9542  7.5870  7.4940  7.2580
  35  0.380112  3.6307  4.8348 -1.3406  9.9833  9.4626  9.2244  8.5900  8.8176  8.3928  8.1020  7.7864  7.8524  7.4950  7.4043  7.1734
  36  0.388220  3.6364  4.8253 -1.2994  9.8134  9.3035  9.0596  8.4518  8.6735  8.2625  7.9778  7.6683  7.7332  7.3883  7.3004  7.0759
  37  0.398745  3.6440  4.8146 -1.2465  9.5887  9.0936  8.8425  8.2710  8.4845  8.0926  7.8168  7.5162  7.5790  7.2514  7.1674  6.9519
  38  0.411384  3.6539  4.8040 -1.1829  9.3131  8.8364  8.5767  8.0519  8.2542  7.8866  7.6226  7.3336  7.3932  7.0866  7.0074  6.8029
  39  0.425141  3.6658  4.7957 -1.1128  9.0018  8.5461  8.2760  7.8097  7.9962  7.6573  7.4083  7.1331  7.1888  6.9046  6.8306  6.6388
  40  0.440767  3.6796  4.7883 -1.0342  8.6588  8.2268  7.9502  7.5460  7.7130  7.4046  7.1732  6.9119  6.9641  6.7008  6.6323  6.4539
  41  0.459177  3.6950  4.7785 -0.9451  8.2870  7.8854  7.6145  7.2624  7.4095  7.1307  6.9174  6.6661  6.7176  6.4744  6.4114  6.2470
  42  0.479184  3.7112  4.7674 -0.8509  7.9173  7.5482  7.2907  6.9754  7.1069  6.8523  6.6544  6.4135  6.4634  6.2397  6.1822  6.0322
  43  0.494895  3.7231  4.7578 -0.7795  7.6473  7.3066  7.0646  6.7689  6.8910  6.6515  6.4634  6.2303  6.2786  6.0669  6.0132  5.8730
  44  0.506080  3.7311  4.7499 -0.7299  7.4658  7.1446  6.9140  6.6297  6.7463  6.5163  6.3344  6.1070  6.1543  5.9503  5.8990  5.7653
  45  0.514628  3.7371  4.7434 -0.6923  7.3309  7.0243  6.8024  6.5261  6.6389  6.4157  6.2383  6.0152  6.0615  5.8634  5.8139  5.6848
  46  0.522431  3.7424  4.7371 -0.6582  7.2105  6.9171  6.7031  6.4335  6.5430  6.3258  6.1523  5.9330  5.9783  5.7854  5.7375  5.6124
