#EEP   M/Mo    LogTeff  LogG   LogL/Lo F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W   F850LP  
  47  0.565713  3.7226  4.7199 -0.6854  7.4148  7.0736  6.8315  6.5353  6.6575  6.4177  6.2294  5.9959  6.0443  5.8323  5.7784  5.6377
  48  0.580287  3.7319  4.7097 -0.6271  7.2025  6.8841  6.6552  6.3721  6.4880  6.2592  6.0780  5.8510  5.8983  5.6951  5.6441  5.5108
  49  0.593724  3.7400  4.6991 -0.5742  7.0156  6.7171  6.5001  6.2276  6.3384  6.1186  5.9435  5.7223  5.7682  5.5730  5.5243  5.3973
  50  0.605786  3.7469  4.6885 -0.5274  6.8545  6.5728  6.3661  6.1022  6.2088  5.9965  5.8264  5.6101  5.6547  5.4661  5.4195  5.2978
  51  0.616580  3.7527  4.6780 -0.4858  6.7154  6.4475  6.2492  5.9926  6.0959  5.8898  5.7238  5.5119  5.5552  5.3722  5.3272  5.2099
  52  0.621866  3.7555  4.6726 -0.4656  6.6488  6.3873  6.1930  5.9398  6.0415  5.8383  5.6742  5.4644  5.5071  5.3267  5.2825  5.1672
  53  0.627105  3.7582  4.6671 -0.4457  6.5836  6.3283  6.1380  5.8879  5.9882  5.7876  5.6254  5.4176  5.4598  5.2819  5.2384  5.1251
  54  0.632298  3.7608  4.6614 -0.4260  6.5199  6.2705  6.0841  5.8368  5.9358  5.7379  5.5774  5.3716  5.4133  5.2378  5.1950  5.0836
  55  0.637439  3.7633  4.6557 -0.4066  6.4576  6.2138  6.0312  5.7867  5.8843  5.6889  5.5302  5.3263  5.3675  5.1943  5.1522  5.0427
  56  0.642528  3.7658  4.6499 -0.3874  6.3966  6.1582  5.9790  5.7373  5.8336  5.6407  5.4837  5.2817  5.3224  5.1513  5.1099  5.0022
  57  0.647561  3.7682  4.6440 -0.3685  6.3369  6.1036  5.9278  5.6889  5.7839  5.5934  5.4380  5.2378  5.2780  5.1091  5.0684  4.9624
  58  0.652529  3.7706  4.6381 -0.3498  6.2784  6.0501  5.8777  5.6415  5.7352  5.5470  5.3932  5.1949  5.2346  5.0677  5.0277  4.9234
  59  0.657409  3.7729  4.6322 -0.3315  6.2212  5.9981  5.8295  5.5956  5.6882  5.5023  5.3501  5.1532  5.1927  5.0278  4.9884  4.8857
  60  0.662210  3.7751  4.6263 -0.3136  6.1653  5.9473  5.7824  5.5507  5.6422  5.4585  5.3079  5.1124  5.1517  4.9888  4.9499  4.8487
  61  0.666942  3.7772  4.6203 -0.2959  6.1108  5.8974  5.7359  5.5065  5.5969  5.4154  5.2663  5.0722  5.1112  4.9503  4.9119  4.8122
  62  0.671610  3.7794  4.6144 -0.2785  6.0575  5.8482  5.6894  5.4623  5.5517  5.3722  5.2245  5.0322  5.0706  4.9116  4.8739  4.7756
  63  0.676222  3.7814  4.6085 -0.2613  6.0055  5.7996  5.6428  5.4183  5.5067  5.3291  5.1827  4.9923  5.0300  4.8729  4.8358  4.7391
  64  0.680780  3.7835  4.6025 -0.2443  5.9544  5.7517  5.5968  5.3747  5.4621  5.2864  5.1413  4.9529  4.9898  4.8346  4.7980  4.7028
  65  0.685292  3.7855  4.5967 -0.2275  5.9040  5.7044  5.5514  5.3317  5.4182  5.2443  5.1005  4.9140  4.9502  4.7968  4.7608  4.6671
  66  0.689763  3.7875  4.5908 -0.2109  5.8542  5.6580  5.5071  5.2897  5.3752  5.2032  5.0607  4.8758  4.9115  4.7599  4.7243  4.6321
  67  0.694204  3.7895  4.5850 -0.1944  5.8049  5.6120  5.4634  5.2482  5.3328  5.1626  5.0214  4.8381  4.8733  4.7234  4.6884  4.5976
  68  0.698609  3.7914  4.5793 -0.1780  5.7560  5.5665  5.4201  5.2071  5.2908  5.1225  4.9826  4.8010  4.8357  4.6875  4.6530  4.5635
  69  0.702980  3.7934  4.5735 -0.1618  5.7074  5.5211  5.3770  5.1664  5.2490  5.0827  4.9442  4.7646  4.7987  4.6522  4.6182  4.5301
  70  0.707300  3.7953  4.5678 -0.1457  5.6590  5.4760  5.3341  5.1260  5.2076  5.0434  4.9064  4.7290  4.7623  4.6174  4.5840  4.4972
  71  0.711568  3.7972  4.5622 -0.1297  5.6112  5.4314  5.2915  5.0860  5.1666  5.0045  4.8690  4.6939  4.7263  4.5831  4.5502  4.4648
  72  0.715787  3.7991  4.5565 -0.1139  5.5641  5.3874  5.2494  5.0464  5.1261  4.9659  4.8319  4.6590  4.6906  4.5490  4.5167  4.4326
  73  0.719950  3.8010  4.5509 -0.0984  5.5181  5.3442  5.2081  5.0072  5.0860  4.9277  4.7949  4.6239  4.6549  4.5149  4.4831  4.4003
  74  0.724058  3.8028  4.5452 -0.0830  5.4731  5.3018  5.1674  4.9685  5.0465  4.8899  4.7583  4.5889  4.6193  4.4810  4.4497  4.3682
  75  0.728113  3.8046  4.5396 -0.0678  5.4288  5.2600  5.1273  4.9303  5.0076  4.8525  4.7221  4.5543  4.5842  4.4474  4.4165  4.3364
  76  0.732112  3.8063  4.5338 -0.0528  5.3855  5.2190  5.0879  4.8927  4.9692  4.8157  4.6864  4.5200  4.5494  4.4142  4.3838  4.3048
  77  0.736055  3.8079  4.5279 -0.0381  5.3430  5.1786  5.0491  4.8556  4.9314  4.7794  4.6512  4.4863  4.5153  4.3814  4.3515  4.2737
  78  0.739941  3.8095  4.5220 -0.0235  5.3013  5.1390  5.0109  4.8191  4.8943  4.7437  4.6165  4.4531  4.4816  4.3491  4.3196  4.2430
  79  0.743766  3.8110  4.5160 -0.0093  5.2605  5.1002  4.9734  4.7832  4.8578  4.7086  4.5824  4.4205  4.4485  4.3172  4.2881  4.2126
  80  0.747532  3.8125  4.5100  0.0048  5.2206  5.0621  4.9365  4.7480  4.8219  4.6740  4.5488  4.3883  4.4159  4.2859  4.2572  4.1827
  81  0.751241  3.8138  4.5039  0.0186  5.1814  5.0247  4.9004  4.7133  4.7866  4.6401  4.5158  4.3567  4.3838  4.2549  4.2266  4.1531
  82  0.755819  3.8155  4.4961  0.0355  5.1335  4.9788  4.8559  4.6707  4.7433  4.5982  4.4750  4.3176  4.3442  4.2167  4.1888  4.1164
  83  0.760356  3.8170  4.4882  0.0523  5.0862  4.9335  4.8119  4.6284  4.7003  4.5567  4.4346  4.2788  4.3048  4.1786  4.1512  4.0799
  84  0.764843  3.8185  4.4801  0.0690  5.0397  4.8888  4.7684  4.5865  4.6578  4.5156  4.3945  4.2403  4.2659  4.1409  4.1138  4.0436
  85  0.769267  3.8200  4.4720  0.0854  4.9938  4.8446  4.7254  4.5452  4.6158  4.4749  4.3548  4.2022  4.2273  4.1035  4.0768  4.0077
  86  0.773619  3.8214  4.4638  0.1016  4.9485  4.8009  4.6829  4.5042  4.5742  4.4347  4.3156  4.1645  4.1891  4.0664  4.0402  3.9720
  87  0.777897  3.8227  4.4556  0.1177  4.9039  4.7579  4.6408  4.4637  4.5332  4.3950  4.2768  4.1272  4.1513  4.0298  4.0039  3.9368
  88  0.782095  3.8241  4.4474  0.1335  4.8598  4.7153  4.5992  4.4237  4.4926  4.3556  4.2384  4.0904  4.1140  3.9935  3.9680  3.9019
  89  0.786212  3.8254  4.4392  0.1492  4.8163  4.6732  4.5581  4.3841  4.4525  4.3167  4.2004  4.0539  4.0771  3.9577  3.9325  3.8673
  90  0.790253  3.8267  4.4311  0.1647  4.7733  4.6316  4.5174  4.3449  4.4127  4.2783  4.1628  4.0178  4.0406  3.9222  3.8974  3.8331
  91  0.794214  3.8280  4.4231  0.1800  4.7307  4.5904  4.4771  4.3061  4.3734  4.2401  4.1256  3.9821  4.0044  3.8870  3.8626  3.7993
  92  0.798102  3.8293  4.4152  0.1953  4.6885  4.5496  4.4372  4.2677  4.3344  4.2023  4.0887  3.9466  3.9685  3.8522  3.8281  3.7657
  93  0.801921  3.8306  4.4074  0.2103  4.6466  4.5091  4.3976  4.2295  4.2957  4.1649  4.0522  3.9115  3.9330  3.8177  3.7940  3.7325
  94  0.805665  3.8318  4.3996  0.2253  4.6051  4.4689  4.3583  4.1917  4.2573  4.1277  4.0159  3.8768  3.8978  3.7836  3.7602  3.6996
  95  0.809350  3.8331  4.3919  0.2401  4.5640  4.4291  4.3194  4.1542  4.2193  4.0909  3.9800  3.8424  3.8629  3.7497  3.7267  3.6670
  96  0.812986  3.8344  4.3842  0.2548  4.5231  4.3895  4.2808  4.1169  4.1815  4.0543  3.9443  3.8082  3.8282  3.7161  3.6934  3.6347
  97  0.816585  3.8357  4.3765  0.2694  4.4824  4.3501  4.2423  4.0797  4.1438  4.0178  3.9087  3.7742  3.7937  3.6826  3.6603  3.6025
  98  0.820149  3.8369  4.3689  0.2840  4.4419  4.3108  4.2039  4.0428  4.1063  3.9815  3.8733  3.7404  3.7594  3.6493  3.6273  3.5704
  99  0.823683  3.8382  4.3613  0.2985  4.4015  4.2717  4.1657  4.0059  4.0690  3.9454  3.8381  3.7067  3.7252  3.6162  3.5945  3.5386
 100  0.827187  3.8395  4.3538  0.3129  4.3614  4.2328  4.1276  3.9692  4.0318  3.9094  3.8030  3.6733  3.6912  3.5833  3.5619  3.5069
 101  0.830658  3.8407  4.3463  0.3273  4.3214  4.1941  4.0897  3.9327  3.9948  3.8736  3.7681  3.6400  3.6574  3.5505  3.5296  3.4754
 102  0.834098  3.8420  4.3389  0.3415  4.2818  4.1556  4.0520  3.8965  3.9580  3.8381  3.7335  3.6071  3.6239  3.5181  3.4974  3.4442
 103  0.837498  3.8432  4.3316  0.3556  4.2425  4.1175  4.0147  3.8606  3.9216  3.8028  3.6992  3.5744  3.5907  3.4859  3.4656  3.4133
 104  0.840855  3.8444  4.3243  0.3695  4.2037  4.0798  3.9777  3.8251  3.8855  3.7680  3.6653  3.5422  3.5580  3.4542  3.4342  3.3828
 105  0.844164  3.8457  4.3171  0.3833  4.1653  4.0425  3.9412  3.7900  3.8500  3.7337  3.6319  3.5106  3.5258  3.4229  3.4033  3.3528
 106  0.847412  3.8468  4.3099  0.3968  4.1275  4.0059  3.9053  3.7556  3.8150  3.6999  3.5991  3.4796  3.4942  3.3922  3.3729  3.3233
