#EEP   M/Mo    LogTeff  LogG   LogL/Lo F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W   F850LP  
  10  0.103497  3.5370  5.3075 -2.7534 14.9033 14.0848 14.0805 12.7581 13.1263 12.5451 12.1985 11.6095 11.6637 11.1378 10.9888 10.6541
  11  0.116993  3.5471  5.2628 -2.6147 14.3654 13.5959 13.5516 12.3260 12.6734 12.0970 11.7491 11.2256 11.2853 10.7763 10.6358 10.3131
  12  0.132613  3.5573  5.2176 -2.4743 13.8329 13.1084 13.0282 11.8974 12.2247 11.6539 11.3064 10.8391 10.9033 10.4103 10.2778  9.9669
  13  0.151485  3.5668  5.1740 -2.3351 13.3246 12.6383 12.5265 11.4824 11.7918 11.2300 10.8849 10.4603 10.5278 10.0493  9.9235  9.6229
  14  0.172715  3.5746  5.1358 -2.2086 12.8809 12.2233 12.0867 11.1123 11.4078 10.8573 10.5162 10.1190 10.1887  9.7223  9.6016  9.3093
  15  0.191394  3.5802  5.1066 -2.1127 12.5533 11.9146 11.7609 10.8352 11.1210 10.5809 10.2437  9.8619  9.9330  9.4754  9.3580  9.0714
  16  0.206992  3.5841  5.0841 -2.0402 12.3099 11.6842 11.5180 10.6272 10.9063 10.3748 10.0409  9.6684  9.7405  9.2893  9.1742  8.8917
  17  0.222342  3.5876  5.0639 -1.9753 12.0949 11.4801 11.3033 10.4422 10.7155 10.1920  9.8612  9.4957  9.5685  9.1228  9.0096  8.7306
  18  0.236058  3.5903  5.0480 -1.9224 11.9207 11.3144 11.1293 10.2919 10.5606 10.0438  9.7157  9.3552  9.4286  8.9874  8.8757  8.5995
  19  0.247228  3.5924  5.0359 -1.8818 11.7873 11.1873 10.9960 10.1765 10.4416  9.9303  9.6044  9.2473  9.3211  8.8834  8.7728  8.4987
  20  0.255827  3.5939  5.0265 -1.8515 11.6885 11.0931 10.8974 10.0909 10.3534  9.8460  9.5218  9.1670  9.2411  8.8060  8.6961  8.4235
  21  0.261772  3.5950  5.0221 -1.8330 11.6273 11.0349 10.8364 10.0381 10.2990  9.7943  9.4711  9.1178  9.1921  8.7587  8.6493  8.3777
  22  0.265823  3.5957  5.0218 -1.8233 11.5931 11.0026 10.8025 10.0094 10.2692  9.7662  9.4438  9.0914  9.1658  8.7336  8.6245  8.3536
  23  0.269101  3.5961  5.0190 -1.8133 11.5614 10.9722 10.7709  9.9816 10.2406  9.7389  9.4170  9.0652  9.1397  8.7082  8.5994  8.3290
  24  0.271690  3.5965  5.0145 -1.8030 11.5292 10.9413 10.7386  9.9530 10.2113  9.7107  9.3893  9.0381  9.1127  8.6819  8.5733  8.3032
  25  0.274117  3.5969  5.0099 -1.7930 11.4983 10.9116 10.7076  9.9256 10.1832  9.6837  9.3627  9.0122  9.0868  8.6567  8.5482  8.2786
  26  0.275749  3.5972  5.0096 -1.7888 11.4830 10.8971 10.6924  9.9129 10.1699  9.6713  9.3507  9.0006  9.0752  8.6457  8.5374  8.2681
  27  0.276850  3.5975  5.0143 -1.7908 11.4854 10.9000 10.6952  9.9166 10.1734  9.6753  9.3549  9.0048  9.0795  8.6504  8.5423  8.2732
  28  0.278680  3.5977  5.0098 -1.7824 11.4602 10.8757 10.6699  9.8939 10.1502  9.6528  9.3328  8.9832  9.0579  8.6292  8.5212  8.2524
  29  0.280982  3.5981  5.0052 -1.7726 11.4294 10.8461 10.6390  9.8667 10.1223  9.6261  9.3065  8.9575  9.0323  8.6043  8.4964  8.2280
  30  0.281953  3.5984  5.0092 -1.7742 11.4302 10.8475 10.6402  9.8691 10.1244  9.6287  9.3094  8.9605  9.0354  8.6078  8.5001  8.2320
  31  0.284358  3.5988  5.0060 -1.7658 11.4037 10.8220 10.6136  9.8457 10.1004  9.6057  9.2868  8.9385  9.0134  8.5865  8.4790  8.2112
  32  0.286854  3.5992  5.0035 -1.7577 11.3770 10.7966 10.5870  9.8226 10.0766  9.5831  9.2647  8.9170  8.9919  8.5657  8.4584  8.1911
  33  0.290008  3.5997  5.0023 -1.7499 11.3511 10.7719 10.5613  9.8003 10.0535  9.5613  9.2434  8.8962  8.9712  8.5458  8.4387  8.1718
  34  0.295909  3.6004  4.9986 -1.7343 11.3007 10.7237 10.5111  9.7563 10.0082  9.5182  9.2012  8.8549  8.9300  8.5060  8.3993  8.1332
  35  0.402605  3.6316  4.8648 -1.3420  9.9173  9.4091  9.1450  8.5813  8.7907  8.3821  8.1015  7.7867  7.8605  7.4956  7.4038  7.1707
  36  0.413108  3.6369  4.8516 -1.2964  9.7415  9.2431  8.9743  8.4358  8.6389  8.2434  7.9690  7.6595  7.7320  7.3778  7.2885  7.0612
  37  0.422623  3.6423  4.8402 -1.2538  9.5731  9.0847  8.8119  8.2975  8.4945  8.1121  7.8439  7.5401  7.6110  7.2676  7.1809  6.9594
  38  0.432234  3.6481  4.8297 -1.2100  9.3962  8.9186  8.6427  8.1534  8.3438  7.9755  7.7144  7.4173  7.4862  7.1546  7.0707  6.8558
  39  0.442761  3.6549  4.8192 -1.1620  9.1991  8.7342  8.4559  7.9947  8.1772  7.8250  7.5721  7.2829  7.3493  7.0308  6.9500  6.7426
  40  0.454955  3.6630  4.8083 -1.1069  8.9729  8.5237  8.2441  7.8146  7.9873  7.6534  7.4102  7.1302  7.1936  6.8892  6.8120  6.6131
  41  0.468288  3.6726  4.7985 -1.0461  8.7215  8.2911  8.0142  7.6161  7.7782  7.4637  7.2314  6.9617  7.0217  6.7325  6.6594  6.4703
  42  0.481642  3.6828  4.7905 -0.9850  8.4697  8.0605  7.7884  7.4210  7.5717  7.2767  7.0555  6.7964  6.8526  6.5784  6.5092  6.3299
  43  0.494630  3.6927  4.7829 -0.9266  8.2331  7.8456  7.5826  7.2384  7.3794  7.1011  6.8899  6.6386  6.6930  6.4327  6.3672  6.1973
  44  0.506938  3.7015  4.7750 -0.8727  8.0237  7.6568  7.4047  7.0771  7.2103  6.9446  6.7413  6.4916  6.5481  6.2998  6.2374  6.0752
  45  0.518653  3.7098  4.7675 -0.8222  7.8319  7.4851  7.2437  6.9294  7.0564  6.8015  6.6048  6.3613  6.4160  6.1772  6.1176  5.9625
  46  0.530590  3.7180  4.7595 -0.7714  7.6432  7.3171  7.0879  6.7847  6.9062  6.6612  6.4707  6.2327  6.2862  6.0564  5.9994  5.8511
  47  0.543072  3.7263  4.7505 -0.7190  7.4539  7.1484  6.9316  6.6388  6.7552  6.5197  6.3353  6.1028  6.1549  5.9341  5.8796  5.7380
  48  0.555929  3.7345  4.7399 -0.6657  7.2668  6.9809  6.7760  6.4934  6.6050  6.3787  6.2001  5.9733  6.0240  5.8119  5.7598  5.6246
  49  0.568360  3.7420  4.7286 -0.6146  7.0921  6.8237  6.6295  6.3564  6.4638  6.2458  6.0727  5.8513  5.9004  5.6967  5.6469  5.5175
  50  0.580019  3.7488  4.7172 -0.5672  6.9342  6.6811  6.4967  6.2314  6.3352  6.1243  5.9559  5.7393  5.7871  5.5903  5.5425  5.4182
  51  0.590741  3.7549  4.7061 -0.5239  6.7932  6.5530  6.3774  6.1188  6.2194  6.0147  5.8504  5.6381  5.6848  5.4942  5.4480  5.3282
  52  0.595736  3.7576  4.7008 -0.5039  6.7288  6.4942  6.3225  6.0668  6.1660  5.9642  5.8018  5.5914  5.6375  5.4498  5.4044  5.2866
  53  0.600700  3.7604  4.6955 -0.4840  6.6654  6.4363  6.2682  6.0155  6.1133  5.9143  5.7537  5.5453  5.5909  5.4059  5.3613  5.2455
  54  0.605627  3.7630  4.6900 -0.4643  6.6033  6.3793  6.2146  5.9649  6.0614  5.8650  5.7062  5.4997  5.5447  5.3625  5.3186  5.2047
  55  0.610509  3.7656  4.6845 -0.4449  6.5424  6.3232  6.1618  5.9150  6.0102  5.8164  5.6593  5.4545  5.4990  5.3195  5.2763  5.1644
  56  0.615367  3.7682  4.6789 -0.4256  6.4825  6.2679  6.1095  5.8656  5.9596  5.7682  5.6129  5.4099  5.4538  5.2769  5.2344  5.1244
  57  0.620199  3.7707  4.6732 -0.4064  6.4234  6.2132  6.0576  5.8166  5.9094  5.7206  5.5669  5.3657  5.4090  5.2347  5.1930  5.0847
  58  0.625002  3.7732  4.6675 -0.3874  6.3649  6.1591  6.0063  5.7682  5.8598  5.6734  5.5214  5.3221  5.3650  5.1930  5.1519  5.0455
  59  0.629781  3.7757  4.6619 -0.3686  6.3071  6.1055  5.9554  5.7201  5.8106  5.6267  5.4764  5.2790  5.3213  5.1517  5.1114  5.0067
  60  0.634532  3.7782  4.6563 -0.3498  6.2499  6.0523  5.9050  5.6725  5.7618  5.5804  5.4318  5.2364  5.2782  5.1109  5.0712  4.9683
  61  0.639247  3.7806  4.6507 -0.3313  6.1935  5.9998  5.8548  5.6253  5.7134  5.5345  5.3876  5.1942  5.2353  5.0705  5.0315  4.9304
  62  0.643918  3.7830  4.6452 -0.3129  6.1379  5.9479  5.8053  5.5787  5.6656  5.4891  5.3439  5.1526  5.1930  5.0305  4.9922  4.8929
  63  0.648541  3.7854  4.6398 -0.2948  6.0832  5.8968  5.7564  5.5327  5.6185  5.4443  5.3007  5.1115  5.1511  4.9911  4.9535  4.8559
  64  0.653105  3.7878  4.6345 -0.2769  6.0296  5.8466  5.7084  5.4874  5.5721  5.4002  5.2583  5.0710  5.1100  4.9522  4.9153  4.8194
  65  0.657603  3.7902  4.6293 -0.2593  5.9769  5.7972  5.6613  5.4428  5.5265  5.3569  5.2164  5.0311  5.0695  4.9140  4.8777  4.7836
  66  0.662029  3.7925  4.6243 -0.2420  5.9253  5.7488  5.6150  5.3991  5.4817  5.3143  5.1754  4.9919  5.0297  4.8764  4.8407  4.7483
  67  0.666381  3.7948  4.6193 -0.2250  5.8750  5.7015  5.5696  5.3561  5.4378  5.2724  5.1349  4.9533  4.9905  4.8393  4.8042  4.7133
  68  0.670651  3.7971  4.6144 -0.2083  5.8258  5.6551  5.5250  5.3140  5.3947  5.2314  5.0954  4.9155  4.9522  4.8029  4.7685  4.6792
  69  0.674847  3.7993  4.6095 -0.1919  5.7775  5.6096  5.4813  5.2727  5.3525  5.1912  5.0566  4.8787  4.9148  4.7674  4.7335  4.6458
  70  0.678962  3.8014  4.6045 -0.1758  5.7296  5.5646  5.4384  5.2324  5.3111  5.1521  5.0191  4.8437  4.8788  4.7334  4.7001  4.6139
  71  0.682997  3.8034  4.5994 -0.1600  5.6827  5.5206  5.3963  5.1928  5.2706  5.1137  4.9824  4.8095  4.8436  4.7000  4.6674  4.5827
  72  0.686963  3.8054  4.5943 -0.1445  5.6369  5.4774  5.3549  5.1540  5.2307  5.0760  4.9462  4.7757  4.8089  4.6672  4.6351  4.5519
  73  0.690856  3.8073  4.5890 -0.1292  5.5924  5.4353  5.3145  5.1156  5.1915  5.0387  4.9103  4.7417  4.7742  4.6342  4.6027  4.5209
  74  0.694681  3.8091  4.5837 -0.1142  5.5492  5.3942  5.2747  5.0778  5.1530  5.0018  4.8746  4.7077  4.7395  4.6013  4.5702  4.4898
  75  0.698443  3.8108  4.5782 -0.0995  5.5070  5.3539  5.2357  5.0405  5.1150  4.9654  4.8393  4.6739  4.7052  4.5686  4.5380  4.4589
  76  0.702134  3.8125  4.5726 -0.0850  5.4657  5.3143  5.1974  5.0038  5.0777  4.9296  4.8045  4.6406  4.6713  4.5362  4.5061  4.4282
  77  0.705730  3.8140  4.5669 -0.0708  5.4255  5.2757  5.1599  4.9680  5.0412  4.8945  4.7704  4.6080  4.6383  4.5045  4.4749  4.3981
  78  0.709232  3.8155  4.5611 -0.0569  5.3862  5.2380  5.1232  4.9329  5.0055  4.8602  4.7371  4.5762  4.6061  4.4735  4.4442  4.3685
  79  0.712656  3.8170  4.5553 -0.0433  5.3477  5.2011  5.0872  4.8985  4.9705  4.8265  4.7044  4.5450  4.5744  4.4429  4.4141  4.3394
  80  0.716000  3.8183  4.5495 -0.0299  5.3101  5.1648  5.0519  4.8648  4.9362  4.7934  4.6723  4.5142  4.5433  4.4129  4.3844  4.3108
  81  0.719283  3.8197  4.5436 -0.0167  5.2731  5.1292  5.0172  4.8315  4.9024  4.7609  4.6406  4.4840  4.5126  4.3832  4.3551  4.2825
  82  0.723909  3.8215  4.5352  0.0019  5.2209  5.0789  4.9680  4.7844  4.8546  4.7148  4.5958  4.4411  4.4691  4.3413  4.3137  4.2424
  83  0.728545  3.8233  4.5266  0.0206  5.1684  5.0283  4.9186  4.7371  4.8065  4.6684  4.5507  4.3979  4.4253  4.2990  4.2720  4.2021
  84  0.733207  3.8252  4.5179  0.0394  5.1157  4.9774  4.8688  4.6894  4.7580  4.6217  4.5052  4.3545  4.3812  4.2565  4.2300  4.1614
  85  0.737906  3.8270  4.5090  0.0584  5.0625  4.9260  4.8187  4.6412  4.7091  4.5745  4.4593  4.3106  4.3366  4.2135  4.1875  4.1204
