#EEP   M/Mo  LogTeff   LogG  LogL/Lo   F336W   F439W   F450W   F555W   F606W   F791W   F814W   F850L
  61  0.577854  3.7070  4.7107 -0.7296  7.8556  7.7686  7.4850  6.8887  6.6172  5.9577  5.9403  5.7276
  62  0.582433  3.7101  4.7064 -0.7095  7.7458  7.6926  7.4150  6.8294  6.5615  5.9100  5.8929  5.6830
  63  0.586952  3.7131  4.7021 -0.6896  7.6385  7.6181  7.3463  6.7713  6.5070  5.8633  5.8465  5.6394
  64  0.591402  3.7161  4.6977 -0.6701  7.5348  7.5456  7.2795  6.7147  6.4538  5.8176  5.8010  5.5968
  65  0.595791  3.7190  4.6932 -0.6508  7.4344  7.4748  7.2143  6.6594  6.4017  5.7728  5.7564  5.5553
  66  0.600111  3.7218  4.6886 -0.6319  7.3375  7.4060  7.1507  6.6055  6.3509  5.7289  5.7128  5.5145
  67  0.604378  3.7245  4.6839 -0.6131  7.2429  7.3386  7.0885  6.5526  6.3010  5.6858  5.6699  5.4743
  68  0.608592  3.7272  4.6792 -0.5945  7.1503  7.2726  7.0275  6.5006  6.2519  5.6432  5.6275  5.4345
  69  0.612762  3.7299  4.6744 -0.5761  7.0600  7.2078  6.9675  6.4495  6.2036  5.6012  5.5857  5.3950
  70  0.616887  3.7325  4.6694 -0.5579  6.9726  7.1442  6.9086  6.3991  6.1560  5.5598  5.5445  5.3561
  71  0.620952  3.7350  4.6644 -0.5398  6.8884  7.0817  6.8505  6.3494  6.1091  5.5191  5.5040  5.3178
  72  0.624960  3.7375  4.6593 -0.5220  6.8067  7.0204  6.7934  6.3005  6.0629  5.4791  5.4642  5.2802
  73  0.628905  3.7399  4.6541 -0.5044  6.7275  6.9602  6.7374  6.2524  6.0175  5.4398  5.4250  5.2432
  74  0.632780  3.7423  4.6488 -0.4871  6.6500  6.9012  6.6824  6.2051  5.9730  5.4012  5.3867  5.2070
  75  0.636586  3.7446  4.6435 -0.4700  6.5746  6.8435  6.6285  6.1588  5.9293  5.3634  5.3490  5.1715
  76  0.640315  3.7468  4.6381 -0.4533  6.5018  6.7873  6.5759  6.1135  5.8864  5.3262  5.3121  5.1367
  77  0.643970  3.7489  4.6327 -0.4368  6.4320  6.7328  6.5248  6.0692  5.8445  5.2896  5.2757  5.1022
  78  0.647538  3.7510  4.6272 -0.4207  6.3655  6.6801  6.4754  6.0261  5.8036  5.2536  5.2399  5.0682
  79  0.651026  3.7530  4.6217 -0.4048  6.3017  6.6290  6.4274  5.9841  5.7636  5.2183  5.2047  5.0348
  80  0.654420  3.7549  4.6162 -0.3894  6.2404  6.5794  6.3807  5.9432  5.7247  5.1839  5.1704  5.0022
  81  0.657729  3.7568  4.6107 -0.3742  6.1815  6.5313  6.3354  5.9033  5.6867  5.1502  5.1368  4.9702
  82  0.662325  3.7593  4.6028 -0.3531  6.1004  6.4645  6.2723  5.8477  5.6337  5.1032  5.0900  4.9256
  83  0.666876  3.7618  4.5947 -0.3320  6.0215  6.3986  6.2098  5.7925  5.5810  5.0563  5.0434  4.8810
  84  0.671392  3.7643  4.5863 -0.3109  5.9441  6.3332  6.1478  5.7374  5.5284  5.0094  4.9967  4.8363
  85  0.675880  3.7667  4.5778 -0.2898  5.8679  6.2682  6.0860  5.6823  5.4757  4.9624  4.9499  4.7916
  86  0.680343  3.7691  4.5692 -0.2686  5.7927  6.2034  6.0242  5.6272  5.4230  4.9153  4.9029  4.7467
  87  0.684784  3.7715  4.5603 -0.2473  5.7185  6.1388  5.9625  5.5719  5.3701  4.8681  4.8558  4.7016
  88  0.689204  3.7739  4.5513 -0.2260  5.6450  6.0742  5.9008  5.5164  5.3171  4.8206  4.8085  4.6562
  89  0.693600  3.7763  4.5421 -0.2044  5.5724  6.0096  5.8390  5.4608  5.2638  4.7729  4.7610  4.6106
  90  0.697966  3.7787  4.5327 -0.1828  5.5005  5.9450  5.7771  5.4048  5.2102  4.7249  4.7131  4.5647
  91  0.702293  3.7811  4.5232 -0.1610  5.4294  5.8804  5.7150  5.3487  5.1564  4.6765  4.6649  4.5183
  92  0.706552  3.7834  4.5134 -0.1392  5.3596  5.8161  5.6532  5.2926  5.1025  4.6279  4.6165  4.4718
  93  0.710728  3.7858  4.5036 -0.1174  5.2908  5.7521  5.5915  5.2365  5.0487  4.5793  4.5681  4.4252
  94  0.714818  3.7881  4.4934 -0.0957  5.2232  5.6885  5.5301  5.1806  4.9950  4.5308  4.5197  4.3786
  95  0.718815  3.7903  4.4831 -0.0740  5.1569  5.6254  5.4692  5.1249  4.9415  4.4824  4.4715  4.3321
  96  0.722718  3.7924  4.4725 -0.0524  5.0918  5.5628  5.4087  5.0695  4.8883  4.4342  4.4234  4.2856
  97  0.726525  3.7945  4.4615 -0.0309  5.0276  5.5008  5.3487  5.0145  4.8354  4.3863  4.3757  4.2395
  98  0.730237  3.7965  4.4503 -0.0096  4.9648  5.4394  5.2892  4.9599  4.7829  4.3386  4.3280  4.1934
  99  0.733853  3.7984  4.4387  0.0116  4.9032  5.3786  5.2303  4.9057  4.7306  4.2910  4.2805  4.1473
 100  0.737377  3.8002  4.4269  0.0327  4.8430  5.3187  5.1720  4.8518  4.6787  4.2435  4.2331  4.1013
 101  0.740810  3.8019  4.4149  0.0537  4.7841  5.2594  5.1144  4.7983  4.6270  4.1961  4.1858  4.0552
 102  0.744157  3.8035  4.4025  0.0745  4.7264  5.2008  5.0573  4.7451  4.5756  4.1487  4.1385  4.0091
 103  0.747419  3.8050  4.3898  0.0952  4.6699  5.1429  5.0008  4.6924  4.5244  4.1013  4.0912  3.9630
 104  0.750603  3.8065  4.3769  0.1158  4.6146  5.0857  4.9449  4.6399  4.4735  4.0540  4.0439  3.9168
 105  0.753718  3.8078  4.3637  0.1362  4.5605  5.0291  4.8895  4.5877  4.4227  4.0065  3.9965  3.8703
 106  0.756769  3.8091  4.3502  0.1566  4.5072  4.9729  4.8345  4.5357  4.3720  3.9590  3.9491  3.8238
 107  0.759754  3.8103  4.3364  0.1770  4.4547  4.9171  4.7798  4.4839  4.3214  3.9115  3.9016  3.7771
 108  0.762676  3.8115  4.3223  0.1972  4.4029  4.8618  4.7256  4.4323  4.2711  3.8640  3.8541  3.7304
 109  0.765533  3.8125  4.3079  0.2174  4.3518  4.8070  4.6718  4.3811  4.2209  3.8165  3.8067  3.6837
 110  0.768330  3.8135  4.2933  0.2374  4.3015  4.7528  4.6184  4.3301  4.1710  3.7690  3.7593  3.6369
 111  0.771055  3.8143  4.2785  0.2573  4.2517  4.6990  4.5655  4.2794  4.1213  3.7217  3.7120  3.5902
 112  0.771837  3.8146  4.2742  0.2632  4.2370  4.6831  4.5498  4.2645  4.1067  3.7078  3.6981  3.5765
 113  0.772615  3.8149  4.2699  0.2692  4.2220  4.6667  4.5338  4.2492  4.0918  3.6938  3.6841  3.5626
 114  0.773389  3.8153  4.2656  0.2751  4.2071  4.6505  4.5179  4.2341  4.0769  3.6797  3.6700  3.5488
 115  0.774159  3.8156  4.2614  0.2812  4.1918  4.6338  4.5015  4.2185  4.0618  3.6655  3.6558  3.5349
 116  0.774925  3.8160  4.2571  0.2873  4.1765  4.6171  4.4851  4.2030  4.0466  3.6513  3.6416  3.5208
 117  0.775689  3.8163  4.2529  0.2935  4.1610  4.6002  4.4685  4.1873  4.0313  3.6369  3.6272  3.5067
 118  0.776449  3.8167  4.2484  0.2996  4.1456  4.5833  4.4520  4.1715  4.0159  3.6224  3.6128  3.4925
 119  0.777205  3.8170  4.2439  0.3059  4.1301  4.5663  4.4353  4.1556  4.0004  3.6077  3.5981  3.4779
 120  0.777956  3.8173  4.2391  0.3122  4.1146  4.5493  4.4185  4.1396  3.9847  3.5927  3.5831  3.4632
 121  0.778701  3.8175  4.2342  0.3185  4.0990  4.5322  4.4017  4.1234  3.9688  3.5775  3.5679  3.4481
 122  0.779441  3.8177  4.2290  0.3250  4.0833  4.5151  4.3848  4.1071  3.9527  3.5620  3.5524  3.4327
 123  0.780174  3.8179  4.2236  0.3314  4.0676  4.4979  4.3678  4.0906  3.9364  3.5463  3.5367  3.4171
 124  0.780902  3.8180  4.2180  0.3380  4.0519  4.4807  4.3508  4.0740  3.9200  3.5303  3.5207  3.4012
 125  0.781624  3.8182  4.2123  0.3446  4.0360  4.4633  4.3336  4.0572  3.9035  3.5142  3.5046  3.3851
 126  0.782340  3.8183  4.2065  0.3513  4.0200  4.4459  4.3163  4.0403  3.8867  3.4978  3.4882  3.3688
 127  0.783051  3.8184  4.2006  0.3580  4.0040  4.4284  4.2989  4.0233  3.8699  3.4813  3.4717  3.3524
 128  0.783756  3.8184  4.1945  0.3648  3.9879  4.4108  4.2815  4.0062  3.8529  3.4646  3.4550  3.3357
 129  0.784457  3.8185  4.1883  0.3716  3.9717  4.3932  4.2640  3.9890  3.8358  3.4478  3.4382  3.3189
 130  0.785151  3.8185  4.1820  0.3784  3.9555  4.3755  4.2464  3.9717  3.8186  3.4308  3.4212  3.3019
 131  0.785840  3.8186  4.1756  0.3854  3.9393  4.3578  4.2288  3.9542  3.8012  3.4136  3.4040  3.2847
 132  0.786523  3.8186  4.1689  0.3923  3.9230  4.3401  4.2111  3.9367  3.7837  3.3962  3.3866  3.2672
 133  0.787199  3.8185  4.1620  0.3993  3.9066  4.3223  4.1934  3.9190  3.7661  3.3786  3.3689  3.2495
 134  0.787867  3.8184  4.1549  0.4064  3.8903  4.3046  4.1756  3.9013  3.7483  3.3606  3.3510  3.2314
 135  0.788528  3.8183  4.1477  0.4135  3.8738  4.2868  4.1578  3.8833  3.7303  3.3425  3.3329  3.2132
 136  0.789182  3.8181  4.1402  0.4207  3.8573  4.2690  4.1399  3.8653  3.7122  3.3241  3.3145  3.1946
 137  0.789828  3.8179  4.1325  0.4280  3.8408  4.2512  4.1220  3.8472  3.6939  3.3055  3.2959  3.1759
 138  0.790466  3.8177  4.1246  0.4353  3.8242  4.2334  4.1041  3.8290  3.6755  3.2867  3.2770  3.1568
 139  0.791096  3.8174  4.1164  0.4426  3.8076  4.2156  4.0861  3.8106  3.6569  3.2676  3.2579  3.1374
 140  0.791716  3.8170  4.1081  0.4500  3.7910  4.1978  4.0682  3.7921  3.6382  3.2482  3.2385  3.1177
 141  0.792328  3.8167  4.0994  0.4575  3.7743  4.1800  4.0502  3.7735  3.6193  3.2285  3.2188  3.0978
 142  0.792930  3.8163  4.0906  0.4650  3.7577  4.1623  4.0322  3.7548  3.6002  3.2086  3.1988  3.0775
 143  0.793521  3.8158  4.0814  0.4726  3.7410  4.1446  4.0142  3.7360  3.5810  3.1883  3.1785  3.0568
