#EEP   M/Mo  LogTeff   LogG  LogL/Lo   F336W   F439W   F450W   F555W   F606W   F791W   F814W   F850L
 227  0.813093  3.7177  2.6660  1.5064  2.0198  2.0512  1.8042  1.2849  1.0328  0.4100  0.3931  0.1876
 228  0.813259  3.7161  2.6136  1.5525  1.9341  1.9492  1.6991  1.1741  0.9200  0.2927  0.2757  0.0686
 229  0.813400  3.7148  2.5658  1.5950  1.8530  1.8540  1.6013  1.0717  0.8159  0.1849  0.1677 -0.0408
 230  0.813540  3.7131  2.5133  1.6408  1.7706  1.7542  1.4981  0.9623  0.7043  0.0685  0.0511 -0.1592
 231  0.813664  3.7114  2.4624  1.6849  1.6926  1.6585  1.3990  0.8572  0.5970 -0.0436 -0.0611 -0.2733
 232  0.813774  3.7097  2.4128  1.7278  1.6183  1.5663  1.3032  0.7553  0.4930 -0.1523 -0.1699 -0.3840
 233  0.813881  3.7078  2.3609  1.7724  1.5429  1.4712  1.2043  0.6496  0.3851 -0.2653 -0.2831 -0.4993
 234  0.813976  3.7060  2.3101  1.8158  1.4708  1.3791  1.1083  0.5469  0.2800 -0.3754 -0.3934 -0.6115
 235  0.814063  3.7041  2.2597  1.8588  1.4017  1.2891  1.0142  0.4458  0.1766 -0.4840 -0.5021 -0.7224
 236  0.814141  3.7023  2.2111  1.9000  1.3370  1.2035  0.9245  0.3491  0.0775 -0.5882 -0.6065 -0.8288
 237  0.814215  3.7003  2.1611  1.9423  1.2728  1.1169  0.8334  0.2505 -0.0237 -0.6949 -0.7134 -0.9378
 238  0.814282  3.6984  2.1122  1.9833  1.2129  1.0340  0.7459  0.1551 -0.1216 -0.7985 -0.8172 -1.0437
 239  0.814343  3.6965  2.0659  2.0221  1.1581  0.9565  0.6640  0.0655 -0.2139 -0.8962 -0.9151 -1.1439
 240  0.814401  3.6947  2.0226  2.0583  1.1087  0.8852  0.5883 -0.0179 -0.2998 -0.9876 -1.0067 -1.2375
 241  0.814454  3.6933  1.9905  2.0851  1.0727  0.8328  0.5325 -0.0794 -0.3633 -1.0552 -1.0744 -1.3068
 242  0.814506  3.6935  1.9895  2.0866  1.0665  0.8276  0.5276 -0.0838 -0.3675 -1.0590 -1.0783 -1.3104
 243  0.814561  3.6929  1.9729  2.1011  1.0439  0.7975  0.4961 -0.1177 -0.4023 -1.0955 -1.1148 -1.3476
 244  0.814614  3.6905  1.9204  2.1439  0.9943  0.7178  0.4102 -0.2145 -0.5028 -1.2038 -1.2233 -1.4589
 245  0.814663  3.6877  1.8632  2.1901  0.9455  0.6343  0.3193 -0.3179 -0.6105 -1.3204 -1.3401 -1.5788
 246  0.814707  3.6850  1.8071  2.2351  0.9018  0.5548  0.2323 -0.4178 -0.7149 -1.4337 -1.4538 -1.6955
 247  0.814746  3.6823  1.7536  2.2779  0.8630  0.4806  0.1506 -0.5121 -0.8136 -1.5413 -1.5617 -1.8063
 248  0.814782  3.6796  1.6999  2.3208  0.8272  0.4079  0.0702 -0.6058 -0.9118 -1.6488 -1.6694 -1.9171
 249  0.814814  3.6769  1.6482  2.3620  0.7952  0.3393 -0.0063 -0.6953 -1.0058 -1.7519 -1.7728 -2.0238
 250  0.814844  3.6743  1.5965  2.4031  0.7653  0.2719 -0.0817 -0.7840 -1.0991 -1.8546 -1.8757 -2.1301
 251  0.814871  3.6718  1.5467  2.4428  0.7379  0.2077 -0.1539 -0.8693 -1.1891 -1.9537 -1.9750 -2.2326
 252  0.814896  3.6692  1.4975  2.4820  0.7130  0.1456 -0.2242 -0.9528 -1.2771 -2.0509 -2.0724 -2.3335
 253  0.814919  3.6667  1.4494  2.5198  0.6938  0.0880 -0.2903 -1.0322 -1.3612 -2.1443 -2.1661 -2.4306
 254  0.814940  3.6642  1.4019  2.5573  0.6766  0.0320 -0.3549 -1.1102 -1.4439 -2.2364 -2.2585 -2.5265
 255  0.814959  3.6617  1.3555  2.5939  0.6612 -0.0220 -0.4175 -1.1862 -1.5247 -2.3263 -2.3487 -2.6200
 256  0.814976  3.6594  1.3106  2.6295  0.6473 -0.0739 -0.4779 -1.2597 -1.6027 -2.4132 -2.4360 -2.7105
 257  0.814992  3.6571  1.2663  2.6647  0.6344 -0.1247 -0.5373 -1.3320 -1.6796 -2.4990 -2.5221 -2.7998
 258  0.815007  3.6549  1.2228  2.6993  0.6228 -0.1740 -0.5951 -1.4026 -1.7549 -2.5831 -2.6066 -2.8873
 259  0.815021  3.6528  1.1808  2.7329  0.6116 -0.2218 -0.6511 -1.4710 -1.8278 -2.6646 -2.6884 -2.9722
 260  0.815034  3.6508  1.1396  2.7660  0.6013 -0.2683 -0.7058 -1.5381 -1.8992 -2.7447 -2.7687 -3.0555
 261  0.815046  3.6488  1.0996  2.7982  0.5917 -0.3132 -0.7588 -1.6031 -1.9687 -2.8225 -2.8469 -3.1367
 262  0.815057  3.6469  1.0602  2.8299  0.5828 -0.3570 -0.8106 -1.6669 -2.0369 -2.8991 -2.9237 -3.2164
 263  0.815067  3.6451  1.0220  2.8609  0.5746 -0.3992 -0.8608 -1.7288 -2.1032 -2.9737 -2.9985 -3.2941
 264  0.815077  3.6432  0.9842  2.8912  0.5694 -0.4387 -0.9085 -1.7887 -2.1675 -3.0465 -3.0716 -3.3701
 265  0.815086  3.6413  0.9467  2.9211  0.5670 -0.4759 -0.9543 -1.8469 -2.2303 -3.1181 -3.1433 -3.4449
 266  0.815094  3.6395  0.9104  2.9500  0.5656 -0.5111 -0.9980 -1.9028 -2.2908 -3.1872 -3.2127 -3.5172
 267  0.815102  3.6376  0.8744  2.9787  0.5651 -0.5452 -1.0408 -1.9579 -2.3505 -3.2558 -3.2814 -3.5889
 268  0.815109  3.6358  0.8392  3.0067  0.5651 -0.5779 -1.0820 -2.0112 -2.4085 -3.3224 -3.3482 -3.6587
 269  0.815116  3.6341  0.8050  3.0340  0.5655 -0.6091 -1.1216 -2.0628 -2.4647 -3.3872 -3.4131 -3.7267
 270  0.815123  3.6324  0.7712  3.0609  0.5664 -0.6393 -1.1602 -2.1133 -2.5199 -3.4510 -3.4770 -3.7937
 271  0.815129  3.6307  0.7381  3.0873  0.5679 -0.6681 -1.1974 -2.1624 -2.5735 -3.5132 -3.5394 -3.8591
 272  0.815134  3.6291  0.7059  3.1130  0.5695 -0.6956 -1.2331 -2.2097 -2.6255 -3.5737 -3.6000 -3.9228
 273  0.815140  3.6275  0.6742  3.1383  0.5717 -0.7220 -1.2676 -2.2559 -2.6763 -3.6330 -3.6595 -3.9853
 274  0.815145  3.6259  0.6432  3.1629  0.5743 -0.7469 -1.3007 -2.3005 -2.7255 -3.6907 -3.7174 -4.0462
 275  0.815150  3.6244  0.6128  3.1872  0.5768 -0.7710 -1.3327 -2.3440 -2.7735 -3.7472 -3.7740 -4.1059
 276  0.815154  3.6229  0.5834  3.2107  0.5793 -0.7940 -1.3635 -2.3858 -2.8199 -3.8018 -3.8289 -4.1637
 277  0.815159  3.6214  0.5547  3.2336  0.5821 -0.8158 -1.3929 -2.4261 -2.8646 -3.8548 -3.8821 -4.2198
 278  0.815163  3.6200  0.5270  3.2557  0.5847 -0.8365 -1.4210 -2.4648 -2.9076 -3.9059 -3.9334 -4.2740
 279  0.815167  3.6188  0.5018  3.2758  0.5878 -0.8544 -1.4456 -2.4994 -2.9462 -3.9520 -3.9798 -4.3230
