EEP   M/Mo    LogTeff  LogG   LogL/Lo F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W   F850LP  
  47  0.548544  3.7269  4.6981 -0.6598  7.3546  6.9943  6.7394  6.4391  6.5653  6.3249  6.1344  5.9024  5.9458  5.7528  5.7019  5.5687
  48  0.561400  3.7352  4.6883 -0.6069  7.1597  6.8193  6.5752  6.2891  6.4089  6.1793  5.9961  5.7705  5.8128  5.6275  5.5792  5.4528
  49  0.572425  3.7420  4.6793 -0.5623  6.9987  6.6753  6.4412  6.1655  6.2804  6.0593  5.8818  5.6617  5.7026  5.5235  5.4773  5.3562
  50  0.581497  3.7473  4.6712 -0.5260  6.8702  6.5609  6.3352  6.0673  6.1784  5.9638  5.7907  5.5749  5.6151  5.4403  5.3956  5.2785
  51  0.589097  3.7516  4.6640 -0.4959  6.7664  6.4678  6.2487  5.9865  6.0948  5.8850  5.7153  5.5027  5.5422  5.3709  5.3275  5.2137
  52  0.594117  3.7544  4.6589 -0.4761  6.6995  6.4074  6.1924  5.9337  6.0404  5.8336  5.6658  5.4554  5.4944  5.3254  5.2827  5.1711
  53  0.599084  3.7570  4.6536 -0.4566  6.6340  6.3484  6.1373  5.8820  5.9870  5.7831  5.6173  5.4090  5.4475  5.2807  5.2388  5.1292
  54  0.604008  3.7596  4.6482 -0.4374  6.5700  6.2905  6.0831  5.8311  5.9346  5.7336  5.5697  5.3636  5.4014  5.2368  5.1956  5.0879
  55  0.608891  3.7621  4.6426 -0.4184  6.5073  6.2337  6.0300  5.7811  5.8832  5.6848  5.5229  5.3189  5.3560  5.1935  5.1531  5.0472
  56  0.613747  3.7645  4.6368 -0.3996  6.4460  6.1780  5.9777  5.7319  5.8326  5.6368  5.4766  5.2746  5.3112  5.1507  5.1110  5.0069
  57  0.618577  3.7668  4.6308 -0.3809  6.3858  6.1231  5.9262  5.6833  5.7827  5.5893  5.4308  5.2309  5.2669  5.1084  5.0692  4.9669
  58  0.623384  3.7691  4.6247 -0.3624  6.3266  6.0691  5.8754  5.6354  5.7334  5.5424  5.3856  5.1876  5.2231  5.0664  5.0279  4.9272
  59  0.628161  3.7712  4.6184 -0.3441  6.2685  6.0159  5.8254  5.5880  5.6848  5.4961  5.3408  5.1448  5.1797  5.0248  4.9869  4.8879
  60  0.632902  3.7734  4.6121 -0.3259  6.2111  5.9634  5.7760  5.5413  5.6369  5.4504  5.2967  5.1025  5.1367  4.9837  4.9464  4.8489
  61  0.637607  3.7755  4.6056 -0.3079  6.1547  5.9118  5.7274  5.4952  5.5896  5.4053  5.2530  5.0607  5.0943  4.9430  4.9063  4.8103
  62  0.642254  3.7775  4.5990 -0.2902  6.0995  5.8611  5.6797  5.4499  5.5432  5.3609  5.2101  5.0195  5.0526  4.9030  4.8668  4.7722
  63  0.646836  3.7794  4.5925 -0.2727  6.0455  5.8114  5.6330  5.4054  5.4977  5.3174  5.1680  4.9792  5.0117  4.8636  4.8280  4.7348
  64  0.651343  3.7813  4.5859 -0.2555  5.9927  5.7629  5.5872  5.3619  5.4531  5.2747  5.1267  4.9396  4.9717  4.8250  4.7899  4.6980
  65  0.655756  3.7831  4.5793 -0.2388  5.9414  5.7156  5.5426  5.3194  5.4096  5.2330  5.0863  4.9009  4.9326  4.7872  4.7525  4.6620
  66  0.660081  3.7849  4.5727 -0.2223  5.8916  5.6694  5.4991  5.2778  5.3671  5.1922  5.0468  4.8630  4.8943  4.7502  4.7160  4.6266
  67  0.664312  3.7866  4.5662 -0.2062  5.8430  5.6244  5.4564  5.2370  5.3255  5.1523  5.0080  4.8258  4.8566  4.7139  4.6801  4.5919
  68  0.668456  3.7882  4.5597 -0.1905  5.7957  5.5804  5.4145  5.1971  5.2847  5.1132  4.9700  4.7894  4.8197  4.6783  4.6449  4.5580
  69  0.672514  3.7898  4.5533 -0.1750  5.7496  5.5374  5.3736  5.1581  5.2449  5.0748  4.9329  4.7536  4.7836  4.6434  4.6105  4.5247
  70  0.676498  3.7914  4.5470 -0.1599  5.7044  5.4952  5.3334  5.1197  5.2058  5.0373  4.8964  4.7186  4.7481  4.6092  4.5767  4.4920
  71  0.680407  3.7929  4.5408 -0.1450  5.6601  5.4539  5.2940  5.0821  5.1674  5.0004  4.8606  4.6843  4.7133  4.5756  4.5436  4.4599
  72  0.684252  3.7944  4.5346 -0.1304  5.6167  5.4133  5.2553  5.0452  5.1297  4.9642  4.8254  4.6505  4.6791  4.5426  4.5110  4.4284
  73  0.688043  3.7959  4.5285 -0.1160  5.5739  5.3734  5.2172  5.0088  5.0926  4.9285  4.7907  4.6172  4.6453  4.5101  4.4789  4.3973
  74  0.691781  3.7973  4.5224 -0.1017  5.5319  5.3340  5.1797  4.9730  5.0560  4.8933  4.7565  4.5845  4.6121  4.4781  4.4472  4.3667
  75  0.695472  3.7988  4.5163 -0.0877  5.4904  5.2951  5.1426  4.9375  5.0199  4.8586  4.7228  4.5521  4.5793  4.4464  4.4159  4.3364
  76  0.699130  3.8002  4.5103 -0.0737  5.4493  5.2567  5.1058  4.9024  4.9841  4.8242  4.6894  4.5201  4.5469  4.4151  4.3849  4.3064
  77  0.702742  3.8016  4.5043 -0.0599  5.4089  5.2187  5.0695  4.8677  4.9487  4.7901  4.6563  4.4885  4.5148  4.3840  4.3542  4.2767
  78  0.706304  3.8029  4.4983 -0.0462  5.3688  5.1811  5.0335  4.8334  4.9137  4.7564  4.6235  4.4572  4.4831  4.3533  4.3239  4.2473
  79  0.709814  3.8043  4.4923 -0.0327  5.3294  5.1440  4.9979  4.7994  4.8791  4.7231  4.5911  4.4262  4.4517  4.3229  4.2938  4.2182
  80  0.713274  3.8056  4.4864 -0.0193  5.2904  5.1073  4.9628  4.7658  4.8449  4.6901  4.5591  4.3955  4.4207  4.2928  4.2641  4.1895
  81  0.716679  3.8069  4.4804 -0.0061  5.2521  5.0712  4.9281  4.7326  4.8111  4.6576  4.5275  4.3652  4.3899  4.2630  4.2347  4.1610
  82  0.720358  3.8083  4.4739  0.0082  5.2107  5.0320  4.8904  4.6967  4.7745  4.6223  4.4931  4.3323  4.3565  4.2308  4.2028  4.1300
  83  0.723979  3.8096  4.4673  0.0223  5.1699  4.9935  4.8533  4.6612  4.7383  4.5875  4.4593  4.2997  4.3235  4.1989  4.1713  4.0995
  84  0.727540  3.8109  4.4608  0.0362  5.1300  4.9556  4.8167  4.6262  4.7028  4.5531  4.4259  4.2677  4.2909  4.1675  4.1402  4.0693
  85  0.731035  3.8122  4.4542  0.0499  5.0907  4.9183  4.7808  4.5918  4.6678  4.5194  4.3930  4.2361  4.2589  4.1365  4.1095  4.0395
  86  0.734470  3.8134  4.4476  0.0634  5.0523  4.8818  4.7455  4.5580  4.6334  4.4861  4.3606  4.2050  4.2274  4.1059  4.0793  4.0101
  87  0.737839  3.8146  4.4410  0.0766  5.0148  4.8460  4.7109  4.5247  4.5996  4.4534  4.3287  4.1744  4.1965  4.0758  4.0496  3.9812
  88  0.741146  3.8157  4.4345  0.0896  4.9780  4.8109  4.6769  4.4920  4.5664  4.4213  4.2974  4.1443  4.1661  4.0463  4.0203  3.9527
  89  0.744393  3.8168  4.4279  0.1023  4.9420  4.7765  4.6437  4.4600  4.5338  4.3898  4.2666  4.1148  4.1363  4.0172  3.9915  3.9247
  90  0.747578  3.8178  4.4214  0.1148  4.9069  4.7429  4.6110  4.4286  4.5019  4.3589  4.2364  4.0858  4.1069  3.9885  3.9631  3.8970
  91  0.750708  3.8188  4.4149  0.1271  4.8725  4.7099  4.5790  4.3977  4.4706  4.3285  4.2067  4.0572  4.0781  3.9604  3.9353  3.8699
  92  0.753780  3.8197  4.4083  0.1391  4.8389  4.6777  4.5477  4.3675  4.4400  4.2987  4.1776  4.0292  4.0497  3.9328  3.9078  3.8431
  93  0.756800  3.8206  4.4017  0.1509  4.8061  4.6461  4.5169  4.3377  4.4099  4.2695  4.1489  4.0015  4.0218  3.9055  3.8808  3.8167
  94  0.759772  3.8214  4.3952  0.1625  4.7739  4.6151  4.4867  4.3085  4.3803  4.2407  4.1208  3.9743  3.9943  3.8787  3.8542  3.7907
