EEP   M/Mo    LogTeff  LogG   LogL/Lo F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W   F850LP  
   3  0.105769  3.5171  5.3296 -2.8453 15.5786 14.7137 14.6982 13.3911 13.7739 13.1782 12.8430 12.1334 12.1624 11.5197 11.3408 10.9538
   4  0.117822  3.5204  5.2761 -2.7320 15.2117 14.3652 14.3322 13.0542 13.4311 12.8415 12.5053 11.8281 11.8591 11.2258 11.0510 10.6697
   5  0.132406  3.5240  5.2202 -2.6110 14.8214 13.9939 13.9433 12.6966 13.0667 12.4831 12.1459 11.5018 11.5348 10.9116 10.7412 10.3659
   6  0.155248  3.5300  5.1589 -2.4564 14.3033 13.5026 13.4289 12.2284 12.5875 12.0116 11.6732 11.0747 11.1106 10.5051 10.3418  9.9767
   7  0.194821  3.5422  5.1046 -2.2549 13.5708 12.8137 12.7068 11.5840 11.9241 11.3580 11.0184 10.4885 10.5298  9.9609  9.8104  9.4657
   8  0.244894  3.5530  5.0554 -2.0633 12.9087 12.1858 12.0557 10.9980 11.3214 10.7622 10.4225  9.9439  9.9891  9.4497  9.3093  8.9819
   9  0.289023  3.5599  5.0219 -1.9302 12.4654 11.7627 11.6191 10.6017 10.9150 10.3603 10.0210  9.5716  9.6190  9.0979  8.9637  8.6468
  10  0.306263  3.5624  5.0059 -1.8789 12.2982 11.6025 11.4540 10.4514 10.7610 10.2082  9.8690  9.4299  9.4781  8.9635  8.8315  8.5184
  11  0.314168  3.5635  4.9965 -1.8542 12.2196 11.5269 11.3762 10.3802 10.6882 10.1361  9.7971  9.3624  9.4109  8.8991  8.7680  8.4565
  12  0.318907  3.5641  4.9898 -1.8385 12.1706 11.4797 11.3276 10.3355 10.6425 10.0910  9.7520  9.3199  9.3686  8.8583  8.7278  8.4172
  13  0.322482  3.5645  4.9843 -1.8263 12.1327 11.4432 11.2901 10.3009 10.6072 10.0560  9.7171  9.2870  9.3357  8.8266  8.6966  8.3866
  14  0.325488  3.5649  4.9793 -1.8157 12.1001 11.4117 11.2577 10.2710 10.5768 10.0258  9.6870  9.2585  9.3073  8.7992  8.6695  8.3601
  15  0.328622  3.5653  4.9742 -1.8048 12.0669 11.3795 11.2247 10.2405 10.5456  9.9950  9.6563  9.2294  9.2783  8.7712  8.6418  8.3330
  16  0.332490  3.5658  4.9686 -1.7922 12.0277 11.3418 11.1859 10.2048 10.5091  9.9589  9.6202  9.1953  9.2444  8.7385  8.6095  8.3014
  17  0.337721  3.5665  4.9620 -1.7760 11.9771 11.2930 11.1357 10.1586 10.4620  9.9124  9.5738  9.1514  9.2007  8.6965  8.5681  8.2610
  18  0.348085  3.5679  4.9513 -1.7465 11.8819 11.2015 11.0415 10.0727 10.3741  9.8257  9.4873  9.0701  9.1197  8.6193  8.4921  8.1871
  19  0.426133  3.5830  4.8727 -1.5196 11.1027 10.4579 10.2715  9.3838  9.6667  9.1353  8.8017  8.4264  8.4798  8.0185  7.9029  7.6190
  20  0.441140  3.5869  4.8542 -1.4709 10.9300 10.2935 10.1006  9.2328  9.5115  8.9860  8.6543  8.2867  8.3408  7.8891  7.7761  7.4971
  21  0.457318  3.5913  4.8341 -1.4172 10.7369 10.1102  9.9099  9.0650  9.3390  8.8210  8.4918  8.1320  8.1869  7.7464  7.6363  7.3631
  22  0.473215  3.5962  4.8140 -1.3628 10.5390  9.9224  9.7146  8.8936  9.1628  8.6535  8.3274  7.9749  8.0305  7.6019  7.4948  7.2277
  23  0.487212  3.6009  4.7966 -1.3141 10.3587  9.7517  9.5371  8.7383  9.0031  8.5028  8.1798  7.8335  7.8896  7.4725  7.3682  7.1068
  24  0.498911  3.6051  4.7830 -1.2732 10.2047  9.6061  9.3860  8.6064  8.8674  8.3754  8.0554  7.7144  7.7707  7.3640  7.2622  7.0060
  25  0.508153  3.6087  4.7730 -1.2407 10.0803  9.4888  9.2643  8.5003  8.7583  8.2736  7.9563  7.6194  7.6758  7.2780  7.1782  6.9264
  26  0.515334  3.6117  4.7656 -1.2153  9.9813  9.3955  9.1677  8.4164  8.6719  8.1933  7.8783  7.5447  7.6011  7.2107  7.1126  6.8643
  27  0.521271  3.6143  4.7596 -1.1939  9.8975  9.3166  9.0860  8.3455  8.5989  8.1258  7.8128  7.4820  7.5383  7.1543  7.0576  6.8125
  28  0.526891  3.6169  4.7541 -1.1736  9.8168  9.2408  9.0074  8.2775  8.5288  8.0612  7.7503  7.4222  7.4783  7.1006  7.0053  6.7633
  29  0.533258  3.6198  4.7484 -1.1508  9.7251  9.1546  8.9183  8.2006  8.4495  7.9884  7.6799  7.3550  7.4108  7.0405  6.9467  6.7082
  30  0.541703  3.6239  4.7417 -1.1210  9.6033  9.0403  8.7999  8.0990  8.3446  7.8925  7.5876  7.2669  7.3222  6.9620  6.8704  6.6367
  31  0.554218  3.6301  4.7327 -1.0772  9.4197  8.8682  8.6215  7.9469  8.1873  7.7495  7.4503  7.1369  7.1909  6.8467  6.7585  6.5323
  32  0.572621  3.6403  4.7221 -1.0116  9.1344  8.6013  8.3438  7.7146  7.9454  7.5319  7.2430  6.9414  6.9928  6.6741  6.5912  6.3771
  33  0.595288  3.6537  4.7119 -0.9311  8.7716  8.2608  7.9841  7.4266  7.6407  7.2604  6.9871  6.7010  6.7494  6.4601  6.3833  6.1838
  34  0.618189  3.6671  4.7033 -0.8525  8.4171  7.9278  7.6326  7.1506  7.3449  6.9977  6.7418  6.4698  6.5159  6.2510  6.1795  5.9931
  35  0.644227  3.6822  4.6951 -0.7658  8.0341  7.5695  7.2647  6.8559  7.0276  6.7151  6.4791  6.2211  6.2650  6.0223  5.9560  5.7833
  36  0.675792  3.6993  4.6838 -0.6653  7.6149  7.1835  6.8866  6.5342  6.6845  6.4044  6.1882  5.9437  5.9856  5.7630  5.7026  5.5452
  37  0.865968  3.7769  4.5822 -0.1459  5.7432  5.5081  5.3285  5.0959  5.1895  5.0074  4.8567  4.6756  4.7034  4.5472  4.5097  4.4124
  38  0.879727  3.7809  4.5710 -0.1115  5.6354  5.4099  5.2367  5.0088  5.1002  4.9222  4.7745  4.5966  4.6236  4.4708  4.4343  4.3397
  39  0.892214  3.7846  4.5605 -0.0804  5.5388  5.3217  5.1540  4.9303  5.0197  4.8454  4.7003  4.5252  4.5516  4.4017  4.3661  4.2739
  40  0.906498  3.7887  4.5491 -0.0457  5.4316  5.2236  5.0620  4.8430  4.9303  4.7599  4.6177  4.4458  4.4715  4.3251  4.2904  4.2008
  41  0.920599  3.7927  4.5381 -0.0119  5.3277  5.1282  4.9725  4.7582  4.8433  4.6769  4.5376  4.3686  4.3937  4.2507  4.2170  4.1300
